#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            6098.400918728517     All      1.0729211890405768         0.07030318970766558        -0.1711425450495377        -0.3342229732914325        
Zeropoint     AB|SDSS|SDSS_u            3549.2064907048584    All      -0.27507528483049626       0.1548220023556368         -0.060907970882530006      0.1373136466368816         
Zeropoint     AB|SDSS|SDSS_z            8792.486791333165     All      0.27073309047984334        -0.022104184725613152      0.10573922671786333        -0.09066807854889551       
Zeropoint     AB|SDSS|SDSS_i            7395.377005884122     All      0.36805069496707776        -0.029804603765715143      0.024349790309185094       -0.12850794054085815       
Zeropoint     AB|SDSS|SDSS_g            4667.020729571698     All      -0.444139165117306         0.8272096151770825         0.10180384200119232        0.4186631617747726         
Check         All|All|All               All                   All      0.9924905245396954         1.0004260187490566         -0.00015765690382696373    0.0025778160304680275      
Lambda        AB|SDSS|SDSS_r            6098.400918728517     All      -7.976559266921136e-05     -5.318982692040453e-05     -0.00047714796489841554    -1.2636320990969416e-05    
Lambda        AB|SDSS|SDSS_u            3549.2064907048584    All      -0.00017710989456269164    8.535823709651224e-05      -8.370676245522954e-05     8.175905706932816e-05      
Lambda        AB|SDSS|SDSS_z            8792.486791333165     All      -4.634899151001207e-05     -3.3356241428277574e-06    -6.254909863240997e-05     1.1219589854900376e-05     
Lambda        AB|SDSS|SDSS_i            7395.377005884122     All      -4.327309245859691e-05     -4.006076849383411e-05     -0.000314054201458057      -1.2968437014655053e-05    
Lambda        AB|SDSS|SDSS_g            4667.020729571698     All      -0.00020350381210366977    9.054571254209707e-06      -0.0007467225731315668     3.591445955663023e-05      
MWEBV         All|All|All               All                   All      -0.94823050891178          -3.9623775055456           0.00498135074213528        -0.9815845444892989        
Redshift      All|All|All               All                   All      4.331665505636424          0.5241107413247903         1.083669092332706          -1.1918866770886167        
