#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    3925.0989740810833    All      -2.6366181252975545        0.39907660399087774        -0.37539516892812763      0.9720734824577456         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    4844.759707517388     All      3.632218409653234          0.6029465165669379         0.37151831523372647       -0.9701543595763112        
Check         All|All|All                                   All                   All      0.9956002843556792         1.0020231205578156         -0.003876853694401161     0.0019191228814343653      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    3925.0989740810833    All      -0.002175814691302631      0.00030709051802220726     -0.0008816192134478536    0.0007694212954666066      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    4844.759707517388     All      -0.00023024616623182624    -0.00027307687089898495    -0.0021816874014609845    -0.00011131005819782205    
MWEBV         All|All|All                                   All                   All      -0.8355494701819737        -3.5361752479877495        0.0011772807677279395     -0.8796301271467744        
Redshift      All|All|All                                   All                   All      5.384188288917346          0.4510172547758984         3.93940827966433          -1.4310984038525847        
