#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    3925.0989740810833    All      -2.6586054168562634       0.4523578381091298         -0.2714098519727671       1.0012313046401056         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    4844.759707517388     All      3.6542673126891887        0.5492192635781379         0.2693447993112609        -0.9993966813046932        
Check         All|All|All                                   All                   All      0.9956618958329252        1.0015771016872677         -0.0020650526615062503    0.0018346233354123997      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    3925.0989740810833    All      -0.0026508758008951462    0.00040096031899913197     -0.0009284024296656967    0.0009526530902378103      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    4844.759707517388     All      6.493356221605462e-05     -0.00022711728060860982    -0.0024430524779716096    -0.00020415277925302117    
MWEBV         All|All|All                                   All                   All      -0.8100923577502464       -3.5400875051221803        0.002618706386119894      -0.8891323728329107        
Redshift      All|All|All                                   All                   All      5.4918207967537125        0.09704868009272616        3.643195897737568         -1.5946756608048662        
