#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3857.6055385240043    All      -0.9973530421960211        0.5435074371550996        0.10303336557791606       0.5065068568193144         
Zeropoint     AB|SDSS|SDSS_r            5040.737233319715     All      0.6091800894102177         0.35890893394601164       -0.6258019084980351       -0.10944821398320419       
Zeropoint     AB|SDSS|SDSS_z            7267.579834975081     All      0.12206799643803344        0.00917400391635681       0.13854129274203023       -0.030590825868409933      
Zeropoint     AB|SDSS|SDSS_i            6112.774926540719     All      1.2632683851456477         0.08741036208661512       0.38754236122942476       -0.36572140702625455       
Check         All|All|All               All                   All      0.997163428797878          0.9990007371040832        0.0033151110513359727     0.0007464099414457026      
Lambda        AB|SDSS|SDSS_g            3857.6055385240043    All      -0.001262042679173616      0.0004974485904862215     -0.0010194572049178167    0.0005276304992137122      
Lambda        AB|SDSS|SDSS_r            5040.737233319715     All      -0.0001317167420451705     -8.089561382597691e-05    -0.0019617427784512755    -7.09894568171437e-05      
Lambda        AB|SDSS|SDSS_z            7267.579834975081     All      -2.4870843339526008e-05    -2.068742382732551e-06    -3.049534243878407e-05    6.066527375465811e-06      
Lambda        AB|SDSS|SDSS_i            6112.774926540719     All      -5.404080873779946e-05     -2.502635033040331e-05    -0.0002906955062525266    -3.5214416772638437e-06    
MWEBV         All|All|All               All                   All      -0.5563975148970544        -3.1250713564546118       0.08040431483588296       -0.8331135017671145        
Redshift      All|All|All               All                   All      5.913463200353133          1.1154782442616806        8.164283470614448         -1.198527075119633         
