#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8191.827000065871    All      0.27606609421457523        -0.04093918724001888      0.2193355898510022         -0.09347110933062111       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6339.524163082737    All      1.331889548593761          -0.2132489074353039       -0.2744763927461355        -0.5155510494577478        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5319.29051262256     All      0.5053398496947582         0.5211569468396959        0.1852686298939513         0.013419836951273342       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4309.52235131868     All      -1.1152347594156318        0.7316925509639027        -0.12795593814454573       0.5958949012552873         
Check         All|All|All                       All                  All      0.9980607330874623         0.9986614031282759        0.0021718888542722747      0.00029257941819182953     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8191.827000065871    All      -2.2312162469452303e-05    4.562196085798779e-06     6.227759943574623e-06      9.03177904479505e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6339.524163082737    All      -0.00041358474859332436    1.3260876431724468e-05    -0.00045045492129798764    0.0001189359286017018      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5319.29051262256     All      6.745167243713907e-05      3.4924467583342955e-05    -0.0011115504314851772     -6.0198571324842154e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4309.52235131868     All      -0.000440857649357588      0.00015036665412850034    -0.0007202106362543135     0.00016044151345903824     
MWEBV         All|All|All                       All                  All      -0.8921468810273026        -4.075427983468094        0.06108851767004711        -1.0341732819283371        
Redshift      All|All|All                       All                  All      4.6297434170342715         -0.692576740378481        -2.076278805977455         -1.8263095615086853        
