#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6133.297219085686    All      1.4213571535607006         -0.3346739158699208       0.12024750403541175        -0.566630997191456         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5322.590744195881    All      0.14160507378096276        0.9076375539429193        -0.0006439834901906175     0.24949324248332264        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4303.886364454587    All      -1.0492564059178688        0.6268434653788901        -0.18152814852543742       0.5378601025891773         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7472.336136646173    All      0.4825221055229121         -0.19566527158998426      0.06005289700588042        -0.21822805544726084       
Check         All|All|All                                All                  All      0.9962279269467067         1.0041418318619044        -0.001871730974335857      0.002494292433782991       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6133.297219085686    All      -0.0003934133655478367     9.438026878169285e-05     -0.0008929627124251272     0.0001190416100088883      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5322.590744195881    All      -0.00023031625206849883    0.0007561819940667793     -0.0018395568135030403     0.00023924396178676274     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4303.886364454587    All      -0.0007917796775480727     0.0006046599011648186     -0.00046335636988689574    0.00043418884561510963     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7472.336136646173    All      -7.58803408637898e-05      -7.757549429197919e-05    -0.00015250681395662834    -7.3578459088753986e-06    
MWEBV         All|All|All                                All                  All      -0.8500862964727696        -4.020542737950983        0.004688824837842989       -1.0325127271906933        
Redshift      All|All|All                                All                  All      11.088320661679031         -4.75824621438754         14.424083245877716         -4.518067580254503         
