#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6133.297219085686    All      1.5221768717899387        -0.10975808050552871       -0.0986783482146425        -0.5359784644953985        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5322.590744195881    All      -0.2504731590916808       0.7698335856867189         0.3351178161239865         0.3473022428623407         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4303.886364454587    All      -0.9696592409917668       0.5857678301723901         -0.2993029252941426        0.4932972542015829         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7472.336136646173    All      0.6969823861171633        -0.2506900051674421        0.05019398035734923        -0.3064481485262699        
Check         All|All|All                                All                  All      0.9990268578236544        0.9951533301861382         -0.01266947702744936       -0.0018271159577448737     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6133.297219085686    All      1.1658061888240629e-05    -0.00012473214830064703    6.721570000366262e-05      -4.1427250582536114e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5322.590744195881    All      -1.741390171138349e-05    0.00010163858990140049     -0.0015234856972367531     -2.920685632203623e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4303.886364454587    All      -0.0011863694634592272    0.0006992157727944382      -0.0008656616610178815     0.0005755666412684742      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7472.336136646173    All      -8.140341157125737e-05    1.7179613595115194e-05     -0.00014318527288740827    2.572203347908718e-05      
MWEBV         All|All|All                                All                  All      -0.8161799196890027       -4.044288473898128         0.013383745426454041       -1.050903902633779         
Redshift      All|All|All                                All                  All      10.280404846428079        -1.7526998261372384        10.022240376722236         -3.472331511711521         
