#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          6441.974375296535    All      1.0093824296650706        0.004177829492135743      0.03325422959461477       -0.3259442249897305       
Zeropoint     AB|DECam|DECam_z          7549.046518226209    All      0.4543815108350935        0.0030288370222564254     1.1821267439607652        -0.09426752765153493      
Zeropoint     AB|DECam|DECam_r          5302.581630010455    All      0.26878804663316075       0.3734725987085241        -1.8313248918546243       -0.0476244163220587       
Zeropoint     AB|DECam|DECam_g          3989.680391306479    All      -0.7357528928958935       0.6177314687839441        0.6163695256115043        0.4683801259572032        
Check         All|All|All               All                  All      0.9967990942374314        0.9984107340068604        0.00042560731225993464    0.0005439569938790467     
Lambda        AB|DECam|DECam_i          6441.974375296535    All      -0.0006114500870764081    -3.291964723193243e-05    -0.0009945896022837892    0.0001440624313783702     
Lambda        AB|DECam|DECam_z          7549.046518226209    All      -0.000122793887418603     -8.933129076903726e-06    -0.0005134334548931491    1.417601792225989e-05     
Lambda        AB|DECam|DECam_r          5302.581630010455    All      -8.49472798531485e-05     5.2283826799601704e-05    -0.0017855444214283649    -3.497996061333413e-05    
Lambda        AB|DECam|DECam_g          3989.680391306479    All      -0.0005795771979087633    0.0003898195549055966     7.123394577637388e-05     0.0003189432584318317     
MWEBV         All|All|All               All                  All      -0.4901350518272092       -3.1848664250652803       0.20278658839765207       -0.868713228217457        
Redshift      All|All|All               All                  All      7.117833130158166         -0.17813861925795038      7.0100135808830455        -2.0637133188388077       
