#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4031.959810178898    All      -2.8171899155237403      0.505466723387471          0.22963221071168882       1.0925460103513722        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4828.27585930509     All      3.8100210259665075       0.49682622841835666        -0.22357922777375694      -1.089193860505914        
Check         All|All|All                            All                  All      0.9928311104427675       1.0022929518058277         0.006052982937931883      0.0033521498454582854     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4031.959810178898    All      -0.001229221744084706    9.118303913895716e-05      -0.0015853394585254577    0.00035935285908979655    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4828.27585930509     All      -0.000649423800503055    -0.00012388562121168443    -0.0010580209458893525    0.00012397045918714308    
MWEBV         All|All|All                            All                  All      -0.06979410867517122     -2.043417023756433         0.024171957964458368      -0.6417952302410851       
Redshift      All|All|All                            All                  All      2.875713919286625        0.1819711966650317         3.6815951235217357        -0.7131479448531319       
