#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7938.342849567635     All      0.18126669120043035        -0.04879150909604668       0.02477392892659691        -0.07383197786108575       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6420.075357850673     All      0.572403571048113          -0.09383702001630745       0.03321631009093884        -0.21553418781171396       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6574.575902914757     All      0.48132646505627774        -0.02625121458850188       0.12959059739311996        -0.1595517158963916        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4390.282854323587     All      -0.6633495453984111        0.4603496062724144         -0.008545274178395346      0.3656444459636435         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5411.339443306849     All      0.2921133606949123         0.2143986088765537         0.19229939050206535        -0.016732812807679354      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6362.286738404393     All      0.15775074255912605        -0.02757676850437818       -0.053953100000170284      -0.0627749465027777        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4416.2120967719875    All      -0.11120818774814925       0.05126873622525174        -0.1458620353843587        0.04641492675105663        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7887.439956920347     All      0.162824907681323          -0.028034840349766554      0.033848712389283886       -0.060658786460507375      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5377.9463032822005    All      0.022613083062184222       0.016320414612147616       -0.2189442055776425        -0.011820203457385547      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8216.618474810784     All      0.0617989417646229         -0.01129194264581912       0.02932291758959149        -0.02249955853441954       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5408.661126415398     All      0.19102015518801768        0.20106018627070732        0.004465394759206598       0.0034696384901306         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4405.250946274484     All      -0.3511593853749715        0.28879948795244026        -0.01945412953244796       0.20758751061285552        
Check         All|All|All                                      All                   All      0.9974007997334753         0.9964137450086952         0.0007585069777882314      -0.00028766751427461434    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7938.342849567635     All      2.9468405932492223e-05     5.209863756561802e-06      0.00010472002537332028     -3.22863149830148e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6420.075357850673     All      -0.00022327577938136608    -1.8388602424475146e-05    -0.0005175332396800059     4.364336258004239e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6574.575902914757     All      -0.00014068369023601074    4.384130796549345e-06      -0.0001400204778434967     4.100489106449546e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4390.282854323587     All      -0.00021429288588689652    3.016037270639149e-05      -0.0005990580341701983     5.289325990617943e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5411.339443306849     All      -2.4490367839145676e-05    -8.316649661259444e-05     -0.0010564065382899037     -6.625531743295297e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6362.286738404393     All      -1.9190878955099873e-05    3.319909818460665e-06      1.0089687417468838e-05     7.782760895685268e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4416.2120967719875    All      -8.858912054268742e-05     4.08936080804205e-05       -0.00011482040677430216    3.7052877164504406e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7887.439956920347     All      4.909852516560647e-07      -1.6159842475755811e-06    3.21532063255629e-05       7.485406408372872e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5377.9463032822005    All      2.011360798053087e-05      1.0288904758144774e-05     -0.00014534495233453724    -9.686306740136058e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8216.618474810784     All      -1.8884723428233508e-06    4.1991394782870567e-07     -4.838729384765217e-07     7.303243316224017e-07      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5408.661126415398     All      -1.277633814054993e-06     -9.760176859318074e-06     -0.00022237132006353185    -1.2686454037122783e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4405.250946274484     All      -5.003468595228299e-05     -8.422970789115098e-06     -0.00013107044527655817    7.705232625498185e-06      
MWEBV         All|All|All                                      All                   All      -0.8607448369524549        -4.104128694614539         0.02717965242923226        -1.0552639235437393        
Redshift      All|All|All                                      All                   All      3.570891039862498          0.5976105942841592         0.25897364678590384        -0.9569384547129217        
