#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7938.342849567635     All      0.17121476778155745        -0.04494814131144054       0.031763601810003705       -0.06899390737623046       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6420.075357850673     All      0.5519554815244918         -0.10125768619846376       -0.04375212091055232       -0.21472547501228054       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6574.575902914757     All      0.47833449393635735        -0.03379336899538288       0.13552139792604104        -0.16076919590093572       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4390.282854323587     All      -0.6403247469397677        0.4568088676135673         0.009197675291845085       0.35778296288870287        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5411.339443306849     All      0.29004182372240855        0.21404626979069086        0.1489991763703439         -0.018105103182078367      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6362.286738404393     All      0.16749558867054204        -0.029364907370821314      -0.033505335217146874      -0.06561912930492264       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4416.2120967719875    All      -0.11223322825525267       0.056532908842799046       -0.13317638097138873       0.049029632868068884       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7887.439956920347     All      0.1492487744198761         -0.02760012334870332       0.030886372959473222       -0.056227187189945155      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5377.9463032822005    All      0.030559537306091823       0.018276720102994304       -0.16706378692980678       -0.011456207170189268      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8216.618474810784     All      0.0642993797401412         -0.013141973825048225      0.02502525953882487        -0.024108434204680923      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5408.661126415398     All      0.19784826238365288        0.20814185405924057        0.012730074006642443       0.0039210461936474575      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4405.250946274484     All      -0.3516508026120798        0.2928563631147352         -0.016400279653125346      0.20920531837600548        
Check         All|All|All                                      All                   All      0.9967893316780193         0.9965567824741672         0.00022565422115420133     -6.56790148384212e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7938.342849567635     All      2.8575720136786486e-05     3.2161901888484845e-06     8.725634015916773e-05      -4.366583500368737e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6420.075357850673     All      -0.0001876475324364247     -2.3923175612616308e-05    -0.0005109852038157001     3.05274866127223e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6574.575902914757     All      -0.0001108428217668424     4.3571398645821823e-07     -0.00011161951206586446    3.126601387631179e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4390.282854323587     All      -0.00031992401371782063    0.00011269789260772616     -0.0005720805775488812     0.00011538985902324107     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5411.339443306849     All      -3.709457379936186e-06     -4.194343291446058e-05     -0.0009074874074865983     -5.2951058749247026e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6362.286738404393     All      -7.578472838567315e-06     1.3122002493291672e-06     1.1180544805240855e-06     2.9458783556118182e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4416.2120967719875    All      -0.00010558861099144717    5.323743928013955e-05      -0.0001267464333658618     4.6078758599499564e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7887.439956920347     All      4.422240013507063e-06      -2.738271124704963e-06     2.8608944149443805e-05     -1.0557282702730372e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5377.9463032822005    All      2.6649338388860412e-05     1.4526357968325864e-05     -0.0001352608488280226     -9.984924009763402e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8216.618474810784     All      -1.7682087163986272e-06    3.655880670454174e-07      -6.698516794040121e-07     6.651554082624414e-07      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5408.661126415398     All      4.462797543686226e-05      4.949259451871125e-06      -0.0001849627448648841     -2.1178700987452854e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4405.250946274484     All      -9.123866588401698e-05     2.816795684183511e-05      -0.00014731098658957116    3.23208526264107e-05       
MWEBV         All|All|All                                      All                   All      -0.8521185604474821        -4.110271380551067         0.015113553631354722       -1.06061311506713          
Redshift      All|All|All                                      All                   All      3.4852285747373157         -0.12417300000184817       -0.07811592034767716       -1.1791867934289237        
