#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.24245396438715938      0.1311492534803449         -0.017407090003035853     0.12091806076126657       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      2.041449107280547         -0.1815433060521343        -0.38282804427569556      -0.7411856206509615       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -1.4302242224833432       0.7543606427879546         -0.5266705621788085       0.6880882730465151        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.6273420055234947        0.2951457331215934         0.9240289524546654        -0.06697208661746323      
Check         All|All|All                      All                  All      0.9961129259335391        0.9991123233377586         -0.0028767440028745206    0.0008486265393569115     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -5.998889415464139e-05    3.2526667210058694e-05     -5.264129417752928e-06    2.9900448089403237e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      -0.000343278982747449     -1.1248748369907336e-05    -0.0005177797313424827    8.504703947349235e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -0.0003161713992804729    4.894637689425437e-06      -0.0011472577561910857    5.338492650544612e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.00021062358870105373    9.745095878110357e-05      0.000275053527357748      -2.458967318304192e-05    
MWEBV         All|All|All                      All                  All      -0.8370110600743024       -3.8384779123736834        0.01798417435762524       -0.9768739480170641       
Redshift      All|All|All                      All                  All      4.3394064648433055        0.10898756998845016        1.7497544568350665        -1.2999031056249026       
