#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.3321279681437559        0.1746992288465421         -0.015778559082857413      0.16438616755568292        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      1.965656366064187          -0.13514761581765455       -0.18158901331395416       -0.6924044549530467        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -1.383771034854458         0.6539973052391623         -0.8781009531484418        0.6245825763883661         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.7475514268808727         0.30379447907495916        1.0644206146645185         -0.09704603374491028       
Check         All|All|All                      All                  All      0.9973087899468457         0.997343397343009          -0.011047910880734868      -0.00048174475390794225    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -4.2433654682194536e-05    1.5660667021323252e-05     -1.0709553738595645e-05    1.844531362909778e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      -0.000539286458453739      -1.7144017965331693e-05    -0.0006470604335762906     0.00014120363553369887     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      5.5676642635644515e-06     -9.930218518397161e-05     -0.0006263614466246859     -6.211119466941956e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.0001055518007856314      7.705644298170731e-05      0.00014327100474923854     -2.8883485841297756e-06    
MWEBV         All|All|All                      All                  All      -0.8412201604894931        -3.8355112370930478        0.013725918547979887       -0.974726588196248         
Redshift      All|All|All                      All                  All      5.353224119789412          0.5511661499179255         0.7152413956491799         -1.532270325298876         
