#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3414.0868999812196    All      -0.44969513307996306      0.05616542111201994        0.3721638142685446        0.181383386562467          
Zeropoint     AB|PS|PS_r                4335.658594556937     All      -1.2957576038952405       0.5966502742438706         -3.6996525041467          0.45132100490912486        
Zeropoint     AB|PS|PS_i                5251.4215606440575    All      1.5440240190741856        0.3701899050104984         2.4368056936088234        -0.2736129426838041        
Zeropoint     AB|PS|PS_z                6035.1647558830855    All      1.2158975679251132        -0.02733931882250573       0.9745167871667348        -0.3614749468748457        
Check         All|All|All               All                   All      1.0144688500240953        0.9956662815438833         0.08383379089740295       -0.002383498087057956      
Lambda        AB|PS|PS_g                3414.0868999812196    All      -0.0007741773309704854    3.371597213289997e-05      0.0011845700555855319     0.0003160193487682747      
Lambda        AB|PS|PS_r                4335.658594556937     All      0.0002569677498993814     -0.00036734937612715313    0.0001655389367801552     -0.00019597338491454504    
Lambda        AB|PS|PS_i                5251.4215606440575    All      -0.0005839601427038121    -0.00029381064370002913    -0.0046760788067692636    -0.000114160683232445      
Lambda        AB|PS|PS_z                6035.1647558830855    All      -0.0010898260238212415    3.144171340660472e-05      -0.0023339890134065973    0.000261078580583434       
MWEBV         All|All|All               All                   All      -0.21679357211757422      -2.5179071885077065        0.7491365272240813        -0.7161178866972095        
Redshift      All|All|All               All                   All      5.036320962189537         0.9068289132269314         12.05646326408436         -0.8070868344570187        
