#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3414.0868999812196    All      -0.3451820565321703        0.07050880646506386       -0.06517488612717455       0.1324957340709483        
Zeropoint     AB|PS|PS_r                4335.658594556937     All      -0.7659348731476401        0.393910311107426         0.10538405382497157        0.3825025405957939        
Zeropoint     AB|PS|PS_i                5251.4215606440575    All      0.7831202324931392         1.0898360044983235        -0.4743530723230936        0.07873921859834544       
Zeropoint     AB|PS|PS_z                6035.1647558830855    All      1.3043907428873809         -0.5634271652681377       0.3686193429947858         -0.5919599537997502       
Check         All|All|All               All                   All      0.9763940457007098         0.9908279568026757        -0.06552456163051074       0.00177753946533743       
Lambda        AB|PS|PS_g                3414.0868999812196    All      -0.0007708683880391665     0.00012876368285798603    -0.00019022992811798238    0.0002845506745097684     
Lambda        AB|PS|PS_r                4335.658594556937     All      -0.0004689041602408108     2.2922171350423232e-05    -0.0013139053547198182     0.00010157045537284005    
Lambda        AB|PS|PS_i                5251.4215606440575    All      1.5123683341378136e-05     0.0007491932189579622     -0.0035607871679502042     8.020902071902478e-05     
Lambda        AB|PS|PS_z                6035.1647558830855    All      -0.00046288219857218074    0.00021986381513366688    -0.0005061690839171115     0.00019980483687596202    
MWEBV         All|All|All               All                   All      -0.3710734044532984        -2.484978779397373        -0.03556309207914413       -0.6901555435045336       
Redshift      All|All|All               All                   All      2.0620562002574667         -1.4369696704843449       4.338853012775296          -0.9461247583034516       
