#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4199.405042112689    All      1.7025371581851436         0.8060593995148579        0.06647586706849708       -0.28904578660648267       
Zeropoint     AB|MEGACAMPSF|r           3435.24909459938     All      -1.6729057084926384        -0.025221037596168117     -0.10240892695844647      0.5321350644635711         
Zeropoint     AB|MEGACAMPSF|z           4842.539462059105    All      0.968834306497367          0.2178599634993006        0.0343148310953329        -0.24308573652703774       
Check         All|All|All               All                  All      0.9984657561898724         0.9986983254179904        -0.001618228794616497     3.5413300506492718e-06     
Lambda        AB|MEGACAMPSF|i           4199.405042112689    All      -0.00012268596721097189    8.00257925548541e-06      -0.001806702892854615     -3.8055293112255686e-05    
Lambda        AB|MEGACAMPSF|r           3435.24909459938     All      -0.0019506705351061324     -4.792676025603773e-05    -0.000703439770570895     0.0005883949597009388      
Lambda        AB|MEGACAMPSF|z           4842.539462059105    All      -0.00022514483724857953    -5.270916201252838e-05    -0.0001496666282826706    4.948903816329814e-05      
MWEBV         All|All|All               All                  All      -0.4219368258774996        -1.763427940922746        -0.011269589413735303     -0.43747069993320137       
Redshift      All|All|All               All                  All      1.1724791184252932         -0.4064342835935264       -0.04314644683011266      -0.5162294675031092        
