#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7331.213110283363     All      0.1106738477627014         0.007679493844392482       0.2252413908395993         -0.023497160707910036     
Zeropoint     AB|SDSS|SDSS_g            3891.3818548270356    All      -0.950835857775375         0.558744574409431          1.6529790865161862         0.5654848752565224        
Zeropoint     AB|SDSS|SDSS_i            6166.296992844855     All      1.268832553818517          0.06604933293843374        2.757869374510343          -0.2687150216847447       
Zeropoint     AB|SDSS|SDSS_r            5084.872781522557     All      0.581270375662522          0.3656262789210274         -4.507754131647502         -0.271402740318307        
Check         All|All|All               All                   All      1.0099409194683657         0.9980996801132846         0.12833572021862683        0.0018699525455605492     
Lambda        AB|SDSS|SDSS_z            7331.213110283363     All      -2.5829583011647487e-05    -1.6158027700946156e-06    -5.3966076594352454e-05    5.478966693200842e-06     
Lambda        AB|SDSS|SDSS_g            3891.3818548270356    All      -0.0007985132196264811     0.0004176608924983414      -0.0004319749851930333     0.0003768708596590805     
Lambda        AB|SDSS|SDSS_i            6166.296992844855     All      -0.00017478516132305732    -2.7703176370581472e-05    -0.00027579653711394525    3.560190858888122e-05     
Lambda        AB|SDSS|SDSS_r            5084.872781522557     All      -9.041031795915468e-05     -4.233492210389124e-05     0.00010603862054175092     2.0391754680613458e-05    
MWEBV         All|All|All               All                   All      -0.5828470514215991        -3.1642613726862834        0.09754093654001483        -0.8364987664360595       
Redshift      All|All|All               All                   All      4.594284969257819          0.6653423091044885         -5.136247635922013         -1.5089930248451615       
