#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7331.213110283363     All      0.06782179117348024       0.008747186998725454       0.03817928216973687        -0.017538776064332517      
Zeropoint     AB|SDSS|SDSS_g            3891.3818548270356    All      -0.8364923651966829       0.5209289908398418         2.0472238514884555         0.5335149914301118         
Zeropoint     AB|SDSS|SDSS_i            6166.296992844855     All      1.029257111692913         0.11732941088649085        0.26009419960080216        -0.2854380441241408        
Zeropoint     AB|SDSS|SDSS_r            5084.872781522557     All      0.7416825276269635        0.3503713340492709         -2.2903071958988885        -0.22966882065662553       
Check         All|All|All               All                   All      1.0022690652966737        0.997376922774329          0.05519013736010603        0.0008693505850129735      
Lambda        AB|SDSS|SDSS_z            7331.213110283363     All      -3.293730214508421e-05    6.506588381367995e-07      -0.00010455208564225664    6.27502451147617e-06       
Lambda        AB|SDSS|SDSS_g            3891.3818548270356    All      -0.0007935506605535624    0.0005125824499715779      0.00023417786652289444     0.0004359008072439013      
Lambda        AB|SDSS|SDSS_i            6166.296992844855     All      7.853286904621173e-05     -2.2197589448276604e-05    0.00037846456593799017     -1.5922088912372532e-05    
Lambda        AB|SDSS|SDSS_r            5084.872781522557     All      -0.0001343863118967868    -3.1905847989985245e-05    -2.170554239433701e-05     3.241263993445518e-05      
MWEBV         All|All|All               All                   All      -0.5808047611094245       -3.1666245073076027        0.05126182556047798        -0.8399989824418218        
Redshift      All|All|All               All                   All      4.543875111874241         0.4958281766974437         -4.160487905878774         -1.5042455303850781        
