#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4666.191320931055    All      -0.41197447551324057       0.44339983463022037        0.04743925519606664        0.2807405498714404         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5407.693833898174    All      0.7039221023139013         0.21339554348660528        -0.42254614106464594       -0.17863693164597802       
Zeropoint     AB|CNIa02|SDSS_i                      7394.062722116186    All      0.43428390065778366        -0.0683080039505235        0.26518187925933195        -0.15187686877842954       
Zeropoint     AB|CNIa02|SDSS_r                      6097.317129581395    All      1.144091695448074          -0.09534035328826462       0.10838392558190886        -0.398887117567302         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.515125689434    All      -0.8709788807312592        0.5037020829953498         0.0023082836220626813      0.44788182364261614        
Check         All|All|All                           All                  All      0.9993443421752591         0.9968491038733873         0.0007672025947241751      -0.0007785444776529649     
Lambda        AB|CNIa02|SDSS_g                      4666.191320931055    All      4.125134814488981e-05      -5.492788971543241e-05     2.436896957845989e-05      -3.0241266784388672e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5407.693833898174    All      9.343324263813834e-06      -1.8068977095235092e-05    -0.0013344445772534555     -6.847922099113105e-05     
Lambda        AB|CNIa02|SDSS_i                      7394.062722116186    All      -8.832951008298478e-05     1.3359444730163872e-06     -0.0003702491496009484     1.268446940087011e-05      
Lambda        AB|CNIa02|SDSS_r                      6097.317129581395    All      -0.00012017855374914081    -4.709720763129452e-06     -0.00036471261016909087    2.133654898789769e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.515125689434    All      -0.0003658144288203308     4.2230755257031625e-05     -0.0010388194716504852     8.65559988473114e-05       
MWEBV         All|All|All                           All                  All      -0.8871398515251334        -4.0406788663912785        0.04088765288594496        -1.025386777335756         
Redshift      All|All|All                           All                  All      4.63254245622942           -0.07806291553373867       5.519484416022245          -1.288089904484727         
