#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4666.191320931055    All      -0.12166470279712557       0.15837227843686907        0.028975738300623943      0.09251031185054728        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5407.693833898174    All      0.3444116283124843         0.2875168185401511         -0.8385453213747951       -0.055952937720091245      
Zeropoint     AB|CNIa02|SDSS_i                      7394.062722116186    All      0.5484358155003146         -0.10887874770060257       0.49949687492828465       -0.19181872681946002       
Zeropoint     AB|CNIa02|SDSS_r                      6097.317129581395    All      1.0016233342859597         -0.07395445735606243       0.09805080981057368       -0.3459755148853334        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.515125689434    All      -0.8274397221102727        0.6523056760056156         0.06180449976298519       0.4847598093105594         
Check         All|All|All                           All                  All      0.9453663531913603         0.9153615679259708         -0.15021739857232763      -0.01647705826377799       
Lambda        AB|CNIa02|SDSS_g                      4666.191320931055    All      -0.00010432668824821903    -3.8097732620287554e-05    -0.0004539190242749123    1.3166284372210031e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5407.693833898174    All      4.485987763249719e-05      5.424998146335613e-05      -0.0011848981604001383    -4.9817897115296425e-05    
Lambda        AB|CNIa02|SDSS_i                      7394.062722116186    All      -1.955918021448962e-05     -0.00011771281032895338    -0.0006199340742768126    -5.9636676967552805e-05    
Lambda        AB|CNIa02|SDSS_r                      6097.317129581395    All      0.00048357870823648695     -0.00018013570274995932    -0.0003486593289171741    -0.0002317526837290225     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.515125689434    All      -0.0008283902879051308     0.0002768017813455387      -0.0015439783579356873    0.0002910967538154659      
MWEBV         All|All|All                           All                  All      -0.9209395579576674        -4.18928144866717          -0.5034171917155383       -1.0870716762132027        
Redshift      All|All|All                           All                  All      3.0464129348246245         -2.897047254721663         3.8458025870231616        -1.7643600114410796        
