#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3638.8860077427626    All      -1.0380871108373735        0.35627720661661755        -0.66946971038927          0.42431497300673          
Zeropoint     AB|SDSS|SDSS_r            4754.936191338356     All      0.882778966471594          0.4679453316105864         1.2840661958360533         -0.07782298567800272      
Zeropoint     AB|SDSS|SDSS_z            6855.520687001864     All      0.17376074430376942        0.02680695905823427        0.388600434125852          -0.03052622989260373      
Zeropoint     AB|SDSS|SDSS_i            5766.191210203595     All      0.9800585019457368         0.14735530164156074        -0.9976849901605855        -0.31576092637009         
Check         All|All|All               All                   All      0.9985111018837268         0.9983847989269989         0.00551192941204981        0.0002048310660335284     
Lambda        AB|SDSS|SDSS_g            3638.8860077427626    All      -0.0015424913802085712     0.0006060931259023485      -0.0008330892181013357     0.0006626877144075039     
Lambda        AB|SDSS|SDSS_r            4754.936191338356     All      -0.0002123486298595585     -3.98402106551979e-05      -0.0010453493567683296     9.542526816644766e-06     
Lambda        AB|SDSS|SDSS_z            6855.520687001864     All      -0.00010175433500177825    -1.7320625327825555e-05    -0.00026963644520846647    1.5470200873092112e-05    
Lambda        AB|SDSS|SDSS_i            5766.191210203595     All      -0.00015344010108593912    -3.2163971426864856e-05    0.0003092265545383699      5.330298619896774e-05     
MWEBV         All|All|All               All                   All      -0.5893436706062221        -2.854630739523145         0.024809708421813514       -0.7367713807371775       
Redshift      All|All|All               All                   All      4.379494401652947          -1.164070176176324         -5.878057254220292         -2.068032059171808        
