#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7410.163936411446     All      0.5350847104220514        -0.13038680011696613       0.10636813771262257       -0.21201924289002874       
Zeropoint     AB|CNIa02|SDSS_r                      6110.5945676312385    All      1.0882944178420249        -0.16186236327140335       -0.25434188946233743      -0.4185673029217487        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4331.927778103791     All      -1.0675777087606644       0.7345594431185987         -0.18680472587881386      0.5786791219654286         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5419.469557277192     All      0.4412489041620362        0.5562518775898972         0.3359502176496256        0.0524521671810618         
Check         All|All|All                           All                   All      0.9970503236654479        0.9985621573201264         0.0011717400210968787     0.000544743334712966       
Lambda        AB|CNIa02|SDSS_i                      7410.163936411446     All      -1.594891593876682e-05    -3.8577783098243694e-05    -0.0002577970459061143    -1.887526464124252e-05     
Lambda        AB|CNIa02|SDSS_r                      6110.5945676312385    All      4.084537604714147e-05     -4.641055727990508e-05     -0.0002803801307012315    -4.0934205613392596e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4331.927778103791     All      -0.0004333127480715211    0.00020014778669498752     -0.000536081752348903     0.00018241606993312995     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5419.469557277192     All      3.269093659256437e-05     -2.5850226729891577e-05    -0.0008101108150957776    -5.522030781452035e-05     
MWEBV         All|All|All                           All                   All      -0.8781391688303244       -4.05467556753667          0.017712002016848104      -1.0339120047003378        
Redshift      All|All|All                           All                   All      4.217813523815611         -0.3390063654343578        0.6661452883308473        -1.4545791481265935        
