#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7410.163936411446     All      0.5793219223980339         -0.13899401772299314       0.1370695372805153         -0.22786234967869592       
Zeropoint     AB|CNIa02|SDSS_r                      6110.5945676312385    All      0.992623419963786          -0.15901564570555138       -0.40047542246155476       -0.3929981102757558        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4331.927778103791     All      -0.9625968596672159        0.7099699361049261         -0.062190530554728785      0.5420347534482555         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5419.469557277192     All      0.38590255144531554        0.5870849164997693         0.3244582363884252         0.08001079590868668        
Check         All|All|All                           All                   All      0.9952510341399192         0.9990451891761509         -0.0011381793473430601     0.0011850894024904302      
Lambda        AB|CNIa02|SDSS_i                      7410.163936411446     All      -3.423282484107993e-05     -4.4309524136539935e-05    -0.00032548583701126887    -1.780725047752568e-05     
Lambda        AB|CNIa02|SDSS_r                      6110.5945676312385    All      7.654115953169223e-05      -6.239569816854299e-05     -0.0003223921283398809     -5.9643185434136455e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4331.927778103791     All      -0.00041580473970450547    0.00021985898922010155     -0.0004963724369822573     0.00018490576711988201     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5419.469557277192     All      -8.977416117964154e-06     4.377982671304733e-05      -0.0006370339863293864     -1.1243131366812526e-05    
MWEBV         All|All|All                           All                   All      -0.863505608455795         -4.056921193226515         0.0326541518805179         -1.0387433113886284        
Redshift      All|All|All                           All                   All      4.142498900212048          -0.7326247592105872        -0.7503764615524267        -1.6214740178030351        
