#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7120.479410485882     All      0.7915817952362865         -0.15555559528941387       0.8313300924597034         -0.27141536412336187      
Zeropoint     AB|PS|PS_r                5878.7829917909985    All      0.8076688017662905         0.30236953227280594        -1.96917232247118          -0.2524677125967545       
Zeropoint     AB|PS|PS_g                4629.2104330592665    All      -0.9842251439862146        1.0078541145232656         0.6751197489151539         0.6790132456387155        
Zeropoint     AB|PS|PS_z                8183.168288223491     All      0.3853798393376583         -0.15791137455281046       0.46911840898462565        -0.1560332221040961       
Check         All|All|All               All                   All      1.0004052923540203         0.9967566769538472         0.00639592788830301        -0.0009030531854969936    
Lambda        AB|PS|PS_i                7120.479410485882     All      -0.0005844954288632022     0.0001622876387740812      -0.0013942677653912391     0.00018103204683344744    
Lambda        AB|PS|PS_r                5878.7829917909985    All      -0.00024784304403344473    7.342135048657177e-05      -0.00029321719729472767    9.156144576242307e-05     
Lambda        AB|PS|PS_g                4629.2104330592665    All      -6.649667351026241e-05     -0.00016452386349481574    -0.001309146933738124      -9.035189573507372e-05    
Lambda        AB|PS|PS_z                8183.168288223491     All      0.0001708556304376633      -6.782251790707659e-05     0.0005304250729430249      -5.407489034252296e-05    
MWEBV         All|All|All               All                   All      -0.6412076490581886        -3.9039135831281158        0.1719819182853577         -1.0550958994347992       
Redshift      All|All|All               All                   All      5.685424363946297          -0.5350442843374381        4.503273379789785          -1.8252508779324217       
