#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7120.479410485882     All      0.9203886588414801        -0.23424587611504677       1.5329674087730754        -0.30769315959433735      
Zeropoint     AB|PS|PS_r                5878.7829917909985    All      0.5345326673171884        0.5683823921961206         -3.7173768344795777       -0.15486348581262865      
Zeropoint     AB|PS|PS_g                4629.2104330592665    All      -0.8970207948305122       0.9053303958612702         1.2993256100123476        0.6450680127894053        
Zeropoint     AB|PS|PS_z                8183.168288223491     All      0.438823414952424         -0.24588925938271444       0.8553758022334459        -0.18486195095412258      
Check         All|All|All               All                   All      0.9967239462805803        0.9935776525596296         -0.02970801346070906      -0.0023505835716833012    
Lambda        AB|PS|PS_i                7120.479410485882     All      -0.0006644798777294409    0.00025129320126235263     -0.00235023224014667      0.00019341734921553738    
Lambda        AB|PS|PS_r                5878.7829917909985    All      -0.0001517288326194078    6.66529044726158e-05       -0.0005364406709682277    4.7195232954194276e-05    
Lambda        AB|PS|PS_g                4629.2104330592665    All      -0.0001602565737724067    -4.1165888460928915e-05    -0.0005834397269786429    1.2755518799805772e-05    
Lambda        AB|PS|PS_z                8183.168288223491     All      0.00025053085520249644    -0.00011157469365078502    0.0008400296143960504     -8.046302660619628e-05    
MWEBV         All|All|All               All                   All      -0.6081617329350046       -3.9458720429691674        0.38286399540323895       -1.0701165937016024       
Redshift      All|All|All               All                   All      6.448469092341936         -1.8430465869210266        12.134979684790881        -2.159291030112903        
