#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4878.478115946184    All      3.7466375134543077        0.44768686725760176        -0.26192742835501326       -1.086265375857115        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4073.882328082899    All      -2.752557671876127        0.5550310551701187         0.27221899111312675        1.0895383481526855        
Check         All|All|All                            All                  All      0.9940798415781809        1.0027179224277205         0.010291562758113493       0.003272972295570442      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4878.478115946184    All      -0.0013672254482874776    -0.00017957966961748602    -0.00037559810264185323    0.0003700940842371523     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4073.882328082899    All      -0.0006793283688455002    4.6217092647054655e-05     -0.0018139656506283059     0.00015538507080015536    
MWEBV         All|All|All                            All                  All      -0.06430832481533999      -2.0798269563071514        0.02746207169262993        -0.6552952207393881       
Redshift      All|All|All                            All                  All      3.247115140368935         0.6429725984222756         1.4247149805822867         -0.7846764135527318       
