#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6017.089009424593    All      1.2730127670419153         0.10960017110033249        0.17842307473011632        -0.3709995552780315       
Zeropoint     AB|SDSS|SDSS_g            3797.220765935165    All      -1.1765277032859358        0.49270635583269495        -0.20497434612011256       0.5345773855700897        
Zeropoint     AB|SDSS|SDSS_r            4961.832387172442    All      0.7767905539688811         0.3846327462454724         -0.10303590780711414       -0.13233671892279586      
Zeropoint     AB|SDSS|SDSS_z            7153.817255773135    All      0.12403945794960838        0.012175681969850416       0.13242156390601556        -0.030528345838642945     
Check         All|All|All               All                  All      0.9973150756744688         0.9991149551483502         0.00283438470890518        0.0007127655306193859     
Lambda        AB|SDSS|SDSS_i            6017.089009424593    All      -0.00030620887918447786    -3.1479931907071376e-05    -0.00017064014162883464    8.187337064308017e-05     
Lambda        AB|SDSS|SDSS_g            3797.220765935165    All      -0.0014007663627066975     0.00029532920030844376     -0.0024724829779761088     0.0004421385651571382     
Lambda        AB|SDSS|SDSS_r            4961.832387172442    All      -6.602808313744735e-05     -8.871123079045426e-05     -0.000633274343706349      -3.564877287973184e-05    
Lambda        AB|SDSS|SDSS_z            7153.817255773135    All      -1.7100616590404977e-05    -6.532915543976443e-07     -1.597533889492286e-05     4.644528862346221e-06     
MWEBV         All|All|All               All                  All      -0.5681737094576227        -3.0364433867996254        0.1772065512060106         -0.7960887230706121       
Redshift      All|All|All               All                  All      3.889412531573147          0.8037208232714477         1.6795068771265909         -0.9301626274056535       
