#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6017.089009424593    All      1.3011437811102655         0.11539150534662923        0.2460257452932153        -0.3752595272503146       
Zeropoint     AB|SDSS|SDSS_g            3797.220765935165    All      -1.0270128571856365        0.49189512679177483        -0.10120360537382127      0.4902420488733543        
Zeropoint     AB|SDSS|SDSS_r            4961.832387172442    All      0.6299763821915811         0.38393055392393904        -0.23738301539977905      -0.09073853465062273      
Zeropoint     AB|SDSS|SDSS_z            7153.817255773135    All      0.09356266107768568        0.007807737847898011       0.09569221661752739       -0.02366289561993043      
Check         All|All|All               All                  All      0.9976699671938959         0.9990249239102411         0.0031313411371423627     0.0005810913524865735     
Lambda        AB|SDSS|SDSS_i            6017.089009424593    All      -0.00015039141985372299    -2.0216877912238956e-05    -0.0001152677191837517    3.72582620238795e-05      
Lambda        AB|SDSS|SDSS_g            3797.220765935165    All      -0.0014860761606088598     0.0004863049700489016      -0.0019863756190781224    0.0005538266028808009     
Lambda        AB|SDSS|SDSS_r            4961.832387172442    All      -7.057366206929251e-05     -3.0484131979703308e-05    -0.0007969073258435843    -2.250383503289311e-05    
Lambda        AB|SDSS|SDSS_z            7153.817255773135    All      -3.15536152604352e-05      -2.7655903264604366e-06    -3.261547077294893e-05    7.921728155726632e-06     
MWEBV         All|All|All               All                  All      -0.5526124714699234        -3.046098684011511         0.14314050358066185       -0.8058227894303053       
Redshift      All|All|All               All                  All      4.033378979711809          0.2872246821173263         3.4431494064625805        -1.0665937553449867       
