#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                3870.6149236174183    All      -0.9894672457637433       0.2960679064344163         -0.9311624389992702       0.3771875889430813         
Zeropoint     AB|PS|PS_g                3047.8912066978473    All      -0.2538519674389401       0.04512890533359126        0.144177928957924         0.1038219052246798         
Zeropoint     AB|PS|PS_z                5387.831689500933     All      1.4998092786547188        0.18887192283578713        -0.19648382032013673      -0.43578359583152787       
Zeropoint     AB|PS|PS_i                4688.152957512169     All      0.7268873500958859        0.4694608864445726         0.9912974783104034        -0.039615214697976575      
Check         All|All|All               All                   All      0.9833774155479216        0.9995296210483673         0.007829147948920534      0.005610683638256619       
Lambda        AB|PS|PS_r                3870.6149236174183    All      -0.001186034774198743     0.00031732347059811104     -0.0016361034517724572    0.000416681456646263       
Lambda        AB|PS|PS_g                3047.8912066978473    All      -0.0007217093297595615    0.00011980587337309247     0.0002701995410029178     0.0002861669512215159      
Lambda        AB|PS|PS_z                5387.831689500933     All      4.088121429958935e-05     -5.227764537373872e-05     -0.0012836010803099268    -8.762612627875833e-05     
Lambda        AB|PS|PS_i                4688.152957512169     All      -0.0002340225928050338    -0.00014599344312512684    -0.0012613940915110926    -2.7616234806877116e-05    
MWEBV         All|All|All               All                   All      -0.3227020137860279       -2.087234833348006         0.16396410548241785       -0.5674494257690186        
Redshift      All|All|All               All                   All      1.9030217078602645        -0.23095535845776283       -1.0588467193120714       -0.7423580022357594        
