#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4670.966063405007    All      -2.3343671884018886        1.2978610190952367        -0.11443419289332013     1.1780295514888406        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5593.486479363261    All      3.3321912704973937         -0.2954750859863964       0.11021836955384945      -1.1767317393664212       
Check         All|All|All                            All                  All      0.9978240820955051         1.0023859331088403        -0.004215823339470681    0.0012978121224194172     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4670.966063405007    All      -0.00022016038340756246    -3.428446478761264e-05    -0.001353388432398217    1.5039198091013838e-07    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5593.486479363261    All      -0.00024189692783711128    2.8667111402081507e-05    4.693850425788286e-05    9.022625873697809e-05     
MWEBV         All|All|All                            All                  All      -0.2509922740516264        -2.585649132450385        -0.011403947297949912    -0.7609834525011655       
Redshift      All|All|All                            All                  All      2.1465577575329444         0.9011599517545932        -3.9745627219205604      -0.5830335174858203       
