#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4670.966063405007    All      -2.3745227459572003      1.26716996149554           -0.30112845379570136       1.1727811430888369        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5593.486479363261    All      3.3713280321728156       -0.2646555418259311        0.30078393993076274        -1.170936864569457        
Check         All|All|All                            All                  All      0.9968052862156159       1.002514419669609          -0.00034451386493861147    0.0018442785193799605     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4670.966063405007    All      -9.08752435684336e-05    -0.00011693293413704544    -0.00138553833022872       -7.031805922148095e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5593.486479363261    All      -0.000602002642740249    5.9658805441951955e-05     5.888100955814645e-05      0.00021815249071389803    
MWEBV         All|All|All                            All                  All      -0.24761024498797646     -2.5863888137649838        -0.01079961196818792       -0.7622990604614492       
Redshift      All|All|All                            All                  All      3.2491839325548266       1.1899553402319185         -2.7079756511221507        -0.7916030151552583       
