#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5450.619487950226     All      0.4738209294966062        0.6133550618852901         0.4768450186636305         0.06673026056859976       
Zeropoint     AB|CNIa02|SDSS_r                      6145.7169343390915    All      1.064501419347944         -0.2054254851964643        -0.3415649189904289        -0.4288994457479144       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4356.826755493069     All      -1.0855948509661433       0.7387325401297495         -0.25458167402242676       0.5828826390080848        
Zeropoint     AB|CNIa02|SDSS_i                      7452.755944809222     All      0.5440890083652872        -0.14780651397852118       0.12071108036279359        -0.21998635320329174      
Check         All|All|All                           All                   All      0.9968165062436942        0.9988556028400541         0.001409506013568415       0.0007271006254784274     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5450.619487950226     All      -2.198884206034507e-05    6.52356451568341e-06       -0.0010439558869535378     -3.729952766664697e-05    
Lambda        AB|CNIa02|SDSS_r                      6145.7169343390915    All      3.072956482917549e-05     -6.893909710764999e-05     -0.0004756640522455271     -5.369206420015072e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4356.826755493069     All      -0.0005657628341984499    0.0002922480679669702      -0.0005329485379793998     0.00025569933304959037    
Lambda        AB|CNIa02|SDSS_i                      7452.755944809222     All      -4.456984641707508e-05    -2.1086552590570772e-05    -0.00020954932158993522    -1.701942420624372e-06    
MWEBV         All|All|All                           All                   All      -0.8840516484475072       -4.088727593796371         0.021473448991370138       -1.042910124702621        
Redshift      All|All|All                           All                   All      5.480383034783777         -0.713901614310064         -0.06240128433013915       -2.0204669788426943       
