#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5450.619487950226     All      0.49087906073820836        0.6251869441148639         0.5958321543005733         0.07033774870222609        
Zeropoint     AB|CNIa02|SDSS_r                      6145.7169343390915    All      1.0325502196781868         -0.216782064140153         -0.449719967213727         -0.42701756329857343       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4356.826755493069     All      -1.1178639784888798        0.7518389479625576         -0.2599845755002106        0.5974218370058334         
Zeropoint     AB|CNIa02|SDSS_i                      7452.755944809222     All      0.5914009818032728         -0.16154170594058215       0.1152139172356334         -0.24011673650898152       
Check         All|All|All                           All                   All      0.9969662837307882         0.9987021219966863         0.001341528822269178       0.0006252859005045353      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5450.619487950226     All      -1.1242928058275369e-05    -5.177746377054989e-05     -0.0010868292530579456     -6.170362976586745e-05     
Lambda        AB|CNIa02|SDSS_r                      6145.7169343390915    All      -3.336116506434145e-05     -4.949343624397354e-05     -0.00043461310010079753    -2.4649598010892952e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4356.826755493069     All      -0.0005152215071125357     0.0002340480345306791      -0.0005902624361186779     0.0002177210384022658      
Lambda        AB|CNIa02|SDSS_i                      7452.755944809222     All      -5.619922702244356e-05     -1.8128157677598378e-05    -0.0002125553038460196     2.91563280714674e-06       
MWEBV         All|All|All                           All                   All      -0.8783901272460208        -4.088602386008411         0.027365848973809337       -1.0444505333723055        
Redshift      All|All|All                           All                   All      5.539338705191722          -0.4041126198576883        -0.8089590922794127        -1.9720777591829608        
