#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7743.306756612914    All      0.4110638650610928         -0.10617248506967769      1.1896156321416205         -0.11539381385256303       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6246.480958464883    All      1.3471476228544492         -0.24796123065708997      -0.47036627411297444       -0.5405697176107547        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5265.394386316628    All      0.3236675500243215         0.7216254952121304        -1.4504191054945157        0.06490245203096423        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4294.144224084392    All      -1.0842514194660142        0.6283064888173762        0.741245783897939          0.5909148471261916         
Check         All|All|All                       All                  All      0.9976276184738493         0.9957982683027389        0.010076036432069446       -0.00014623230616184202    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7743.306756612914    All      -8.582921830395339e-05     2.0243237594515208e-05    -0.00026644201711847513    2.266120506620114e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6246.480958464883    All      -0.00041345913547003084    9.945598541305895e-05     -0.00022425220682340124    0.00015706598324048332     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5265.394386316628    All      4.109362444345114e-05      0.0001786664304584246     -0.0016338523582823787     -2.8099337807723925e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4294.144224084392    All      -0.0006362196004919379     0.00019374645715979034    -0.002026606851669203      0.0001799090941280285      
MWEBV         All|All|All                       All                  All      -0.8066357078486175        -3.971995408676765        0.2789435123944318         -1.0186138239837494        
Redshift      All|All|All                       All                  All      5.812867004052389          -1.490643348136711        10.741243905717665         -1.8996612172982998        
