#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7743.306756612914    All      0.6142241134494275         -0.09831198802423557      3.924689959584393         -0.05695556254416978      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6246.480958464883    All      1.2421005348387077         -0.28656666863611235      -2.114704206322804        -0.5923067360720013       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5265.394386316628    All      -0.17824467584342585       0.7752215788869421        -6.165195493325381        0.03545096812533899       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4294.144224084392    All      -0.6704354856979786        0.6069955087475876        4.486638947026944         0.6163193909408005        
Check         All|All|All                       All                  All      1.007644486746731          0.9973384309741817        0.1314292069631522        0.002508060449968319      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7743.306756612914    All      -8.403994431414909e-05     7.136867966798495e-06     -0.0005249352065456766    6.27384005999671e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6246.480958464883    All      -0.0002507323417335732     7.379787083825868e-05     -0.0002089571430340949    9.638536937334232e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5265.394386316628    All      -0.00029103000791736973    0.0004329363715251238     -0.005325377068631281     -1.827452429964859e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4294.144224084392    All      -0.0006758505498664991     0.00039590183542435805    0.0009113688853264494     0.0003897752190816224     
MWEBV         All|All|All                       All                  All      -0.7262331199060319        -3.9864954040654155       1.0392134314872181        -1.0155993628813142       
Redshift      All|All|All                       All                  All      5.375034687045037          -3.4501113607019462       14.443338660802922        -2.230100537855695        
