#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7529.791164839411     All      0.2194295531610101        -0.02994076092988074      0.17713457054094883        -0.07332341300546608       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6158.566994442229     All      1.0935679116778134        -0.10327750400014324      0.31155892076357716        -0.37594848323561775       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4355.21020496477      All      -0.502403199365947        0.33401019961063483       -0.1507721383672056        0.2657190931662133         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4757.659160783373     All      -0.19681502114961347      0.4984330992179098        0.28590430315533766        0.2392237817263207         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5320.239711751635     All      0.7183842644688909        0.19699108968146417       -0.4748031365284011        -0.19102319364554324       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3559.1828907848585    All      -0.3340424180466521       0.12854830933231032       -0.2424882874240697        0.13985988013090062        
Check         All|All|All                              All                   All      0.9981210907455017        1.0247644329122951        -0.09346576785981275       0.0045076651368075316      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7529.791164839411     All      9.744607494973138e-06     4.115792237757984e-05     -0.0001603525251602911     3.076553399233492e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6158.566994442229     All      0.00032270657834750034    1.259761902830476e-05     -5.479062790115352e-05     -0.0001034577444109621     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4355.21020496477      All      -0.0003605116796667856    0.00023247306953673276    -0.0008750313528914026     0.00015410601102846784     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4757.659160783373     All      -4.475918059191974e-05    0.00012885412164030378    -0.00021061534943048603    4.715276852125308e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5320.239711751635     All      0.00043644874121944767    0.000139481091766543      -0.0011914875950171271     -0.00014990275243330657    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3559.1828907848585    All      -0.0005011264278727687    0.00047201011537709967    -0.0006030692366251717     0.00029007037714404556     
MWEBV         All|All|All                              All                   All      -1.0561719933743636       -3.9221320205503396       -0.20624983165467015       -0.9427414508510312        
Redshift      All|All|All                              All                   All      3.755881724662174         -1.4720037821579268       7.35752762143842           -1.3745616360531066        
