#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7529.791164839411     All      0.3017739021151368         -0.0451819980218815        0.28689329887232456        -0.10021222090928661       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6158.566994442229     All      1.100395310169104          -0.06525671663926147       -0.009896096433922696      -0.380132831276812         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4355.21020496477      All      -0.47949047526106886       0.28721599818748444        -0.047515705932143854      0.247621114571938          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4757.659160783373     All      -0.2413004356196412        0.4712223360304968         0.24549538090566672        0.24304743935967893        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5320.239711751635     All      0.6369868664210007         0.2301803969791294         -0.403186601523685         -0.15050261688945152       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3559.1828907848585    All      -0.3244907284114882        0.11973923023376187        -0.07003830738250968       0.14157482427812582        
Check         All|All|All                              All                   All      0.9938744394130432         0.9979192467697295         0.0017519685057300338      0.0013957091341925965      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7529.791164839411     All      -8.417486468239747e-05     1.3803829645210215e-05     -0.00017346969434577436    2.417372840463733e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6158.566994442229     All      -0.00022462712985272588    1.9208156848539517e-05     -0.0005520396655005659     5.479017997644556e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4355.21020496477      All      -0.00027355019846554495    6.318141984316852e-05      -0.0007199540359284513     7.755632423013539e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4757.659160783373     All      -0.0001050519387093173     -0.00011197176012777714    -0.0009612861294311374     -4.5151798420366675e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5320.239711751635     All      0.0001286016890620665      5.270015665659334e-05      -0.0011132325570044697     -7.440208231761744e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3559.1828907848585    All      -0.0005386911186454821     0.00015174793557373825     -0.0004402711873662164     0.00020525143372965757     
MWEBV         All|All|All                              All                   All      -1.084021726093206         -3.9819314258089378        0.025839820744721777       -0.942791415072868         
Redshift      All|All|All                              All                   All      6.08042161406619           0.3119018685474373         10.677958302898416         -1.4024884228083616        
