#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4165.751580146476    All      -0.9040929079677412        0.4682587403078031         -0.32827697570602665      0.43237058716736765        
Zeropoint     AB|MEGACAMPSF|i           5092.194566278324    All      1.32145109095224           0.41561297226326843        0.22996040195848105       -0.28479919987643637       
Zeropoint     AB|MEGACAMPSF|g           3263.762400946684    All      -0.35510953941375756       0.0964600595516174         0.05080181475277019       0.14935812624967573        
Zeropoint     AB|MEGACAMPSF|z           5871.770928468444    All      0.9243416986464883         0.020159617109527517       0.04990192297503503       -0.2922949570323717        
Check         All|All|All               All                  All      0.9865903422172295         1.0004913892322165         0.002387163980259621      0.004634556508235355       
Lambda        AB|MEGACAMPSF|r           4165.751580146476    All      -0.0005872532960979945     0.0002138944877535976      -0.0007724857819566641    0.00022648769762981407     
Lambda        AB|MEGACAMPSF|i           5092.194566278324    All      0.00018955871774637431     -1.9472538305938493e-05    -0.001658407011645319     -0.00014209544516212427    
Lambda        AB|MEGACAMPSF|g           3263.762400946684    All      -0.0007521835286463995     0.00020103860714368617     6.424371979163907e-05     0.00031336271185717924     
Lambda        AB|MEGACAMPSF|z           5871.770928468444    All      -0.00017442570503015248    -1.5452826491938173e-06    1.1308042502367862e-06    5.6363303766528054e-05     
MWEBV         All|All|All               All                  All      -0.3556662505243746        -2.317712586927101         0.05521519469144369       -0.636639040628664         
Redshift      All|All|All               All                  All      6.082340773421828          0.11471058965515368        3.953417455857692         -1.7674306163889806        
