#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4165.751580146476    All      -1.0207772273267501        0.535706130777136          -0.06207547266171565       0.5042276932733653         
Zeropoint     AB|MEGACAMPSF|i           5092.194566278324    All      1.3236229498568786         0.3747964840886908         0.011456142098054123       -0.30855276035855195       
Zeropoint     AB|MEGACAMPSF|g           3263.762400946684    All      -0.3334794834705802        0.09149063664164458        0.028701206052050843       0.13970755222845466        
Zeropoint     AB|MEGACAMPSF|z           5871.770928468444    All      1.0180081104110523         -0.0018945822066740448     0.021030409326416866       -0.3312773702084715        
Check         All|All|All               All                  All      0.9873743494706005         1.0000986693007974         -0.0008877151851938159     0.004105114934796483       
Lambda        AB|MEGACAMPSF|r           4165.751580146476    All      -0.0007817082007316761     0.0003280255320936918      -0.0005894941333448179     0.0003351703702140482      
Lambda        AB|MEGACAMPSF|i           5092.194566278324    All      0.0003225866748011204      3.524848269014267e-05      -0.001689284712856885      -0.00016898052044702638    
Lambda        AB|MEGACAMPSF|g           3263.762400946684    All      -0.0008663270567517522     0.00024049783767956083     0.00015884678010192097     0.0003676178838127936      
Lambda        AB|MEGACAMPSF|z           5871.770928468444    All      -0.00010025930794608643    -1.2384339463805875e-06    -1.2303744573096017e-06    3.219945039057148e-05      
MWEBV         All|All|All               All                  All      -0.29481722253586495       -2.3368313367619464        0.020222428601046616       -0.6642487431621297        
Redshift      All|All|All               All                  All      5.586809739776388          -0.5732023075225356        1.5148552686209182         -1.9389175490221038        
