#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7518.784380161586    All      0.876623575985908          -0.35244072523337167      2.4417747517687824        -0.2913814854159467        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5155.862614104455    All      -0.22710969477783471       0.8015293128295298        -1.6591737766167          0.26102026065500866        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4199.351397468284    All      -0.6837432169239976        0.42826091193770566       1.2692197743767677        0.41885577783430633        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6267.283031631888    All      1.0200698361044314         0.12957651691163363       -2.15885240387222         -0.3864026379554697        
Check         All|All|All                                      All                  All      0.985840500388507          1.0069260164454974        -0.10703165434337025      0.0020919151178985795      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7518.784380161586    All      -0.000309281363073437      0.00019719913666182856    -0.0012646402869023036    0.0001085422737555863      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5155.862614104455    All      -0.00016405881194334347    2.0403475848683385e-05    -0.001439584930973743     -4.1566279320442865e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4199.351397468284    All      -0.0004761783644037801     0.00017963000692720047    -0.0004848270267268824    0.00019198275852423379     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6267.283031631888    All      -0.0002635757652050291     -3.875485852999262e-06    -0.0001771374586902972    7.668809365194108e-05      
MWEBV         All|All|All                                      All                  All      -0.7073941900184395        -3.9012662039320745       0.38552986270429734       -1.023144763102002         
Redshift      All|All|All                                      All                  All      7.537879131698514          -0.6669124977367602       13.16151794762212         -2.0852324659970827        
