#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7518.784380161586    All      0.5932651485972005         -0.25375881577769377      1.381407883185548         -0.21425768220797203      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5155.862614104455    All      0.01955133281701893        0.9651437526778217        -1.8444258524688895       0.22570230556109605       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4199.351397468284    All      -0.9695416722076231        0.3635107988337438        0.8782769521694433        0.473412512536997         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6267.283031631888    All      1.3404529763501785         -0.08041237387033107      -0.47121131708864894      -0.48385058653474083      
Check         All|All|All                                      All                  All      0.9837277855567746         0.9944833618635407        -0.05595233420254697      0.001006549355380193      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7518.784380161586    All      -0.00016005981567750584    0.00011120378758574513    -0.0005058852147834906    6.578414620127451e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5155.862614104455    All      -0.0001017043656066454     2.7150504966575264e-05    -0.0019404754497211768    -4.462223649465166e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4199.351397468284    All      -0.0006481772750745662     0.0002598249205334103     -0.001020855327174154     0.0002502101028616018     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6267.283031631888    All      -0.00025805869098601453    9.053908484824136e-06     -0.0002510374207333835    7.58047142769919e-05      
MWEBV         All|All|All                                      All                  All      -0.7449711315035086        -3.910125729912739        0.28336128221411183       -1.0183498706012695       
Redshift      All|All|All                                      All                  All      7.744256102444551          -0.5522009847234166       15.61079110427972         -2.0057911094077023       
