#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4351.572605679542     All      -0.6068727830866641       0.5203439229283902         0.10681195721559122       0.37193809255817273        
Zeropoint     AB|MEGACAMPSF|i           5320.697476678447     All      0.9396258241234249        0.3733854988450247         -0.9956997802500811       -0.22887661080542715       
Zeropoint     AB|MEGACAMPSF|g           3414.786551922034     All      -0.3477270596275861       0.12760045932758146        0.10597168569543847       0.15955884035682172        
Zeropoint     AB|MEGACAMPSF|z           6128.6673486792515    All      1.0069207255048345        -0.02286100238588773       0.7885789584733294        -0.3002431304820443        
Check         All|All|All               All                   All      0.9919467069140091        0.9984688787151086         0.005662821134277962      0.0023771916275229787      
Lambda        AB|MEGACAMPSF|r           4351.572605679542     All      -0.0002941720100370647    -0.00012231807264692418    -0.0017436677354741345    -2.1833401423392823e-05    
Lambda        AB|MEGACAMPSF|i           5320.697476678447     All      1.5348107651389636e-05    5.41120981225733e-05       -0.0027376568822702753    -0.00010954234605858114    
Lambda        AB|MEGACAMPSF|g           3414.786551922034     All      -0.0004295973141146532    0.0001682682154659567      0.00084573647274498       0.00023248580662758053     
Lambda        AB|MEGACAMPSF|z           6128.6673486792515    All      -0.000407572174117754     6.842983112611531e-07      -0.0006385083348895053    0.00010448886988571756     
MWEBV         All|All|All               All                   All      -0.4409277612558826       -2.473017597991145         -0.10799830590505488      -0.6667379819688127        
Redshift      All|All|All               All                   All      2.8953942206361094        0.048341314975175464       4.287611906400601         -0.736042369538779         
