#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4351.572605679542     All      -0.586434398862731         0.5138700845465749        0.19898063883273376        0.36728496121478516        
Zeropoint     AB|MEGACAMPSF|i           5320.697476678447     All      1.0318175781525571         0.37858692939494176       -0.8903911428361315        -0.252512780236536         
Zeropoint     AB|MEGACAMPSF|g           3414.786551922034     All      -0.4297263428825995        0.1460891315936408        -0.02547958410694795       0.18642500698813955        
Zeropoint     AB|MEGACAMPSF|z           6128.6673486792515    All      0.9737388889366723         -0.03911444069686354      0.7189570388848402         -0.29783590075124194       
Check         All|All|All               All                   All      0.9893957253438991         0.9994317048382939        0.0020669507744944804      0.00336128721514678        
Lambda        AB|MEGACAMPSF|r           4351.572605679542     All      -0.00028614345751707684    -8.795105490730137e-05    -0.001806614751693036      -1.6063133020250978e-05    
Lambda        AB|MEGACAMPSF|i           5320.697476678447     All      0.0001229841531801176      5.5661481195067646e-05    -0.0023573569585644267     -0.00012712722322748418    
Lambda        AB|MEGACAMPSF|g           3414.786551922034     All      -0.0006955075646654854     0.00020828741537965017    -2.0849453686570845e-05    0.00029346534361240244     
Lambda        AB|MEGACAMPSF|z           6128.6673486792515    All      -0.00034785595180287295    9.890274738205175e-06     -0.0005670572365833013     9.12245554166664e-05       
MWEBV         All|All|All               All                   All      -0.42190519969107365       -2.4764732355764707       -0.042978842674988145      -0.6711583509224335        
Redshift      All|All|All               All                   All      3.086721476199103          -0.14869334232514575      4.766491011080768          -0.841174446256086         
