#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_z          7197.694619106639     All      0.44996590071130826       -0.05708683565490702       0.07814051402727915        -0.16167670551937396       
Zeropoint     AB|DECam|DECam_g          3803.9904794770555    All      -0.6734438146696754       0.4024570505947622         -0.1913870197908619        0.3419155842192474         
Zeropoint     AB|DECam|DECam_i          6142.148440276085     All      1.2139637836259292        -0.012726297381604468      -0.10130751436756005       -0.40409420536673923       
Zeropoint     AB|DECam|DECam_r          5055.785942443479     All      0.0028886964093092216     0.667442207029012          0.21509567293765486        0.22606567355445           
Check         All|All|All               All                   All      0.9933745660768714        1.0000861245872628         0.0005416528065120552      0.0022103468875842025      
Lambda        AB|DECam|DECam_z          7197.694619106639     All      -9.209229985215524e-05    -3.528605245353987e-05     -0.00046766248009377965    -2.365964942746723e-06     
Lambda        AB|DECam|DECam_g          3803.9904794770555    All      -0.0009952775485367622    0.0005221076931707829      -0.0006571709064862996     0.000464935774436131       
Lambda        AB|DECam|DECam_i          6142.148440276085     All      -0.0002143087996509874    -5.12738610856987e-05      -0.0006766286296320697     2.2911015083288325e-05     
Lambda        AB|DECam|DECam_r          5055.785942443479     All      -0.0002233280503754047    -4.6124043125509485e-05    -0.0015187668800643107     -1.0054415413327481e-05    
MWEBV         All|All|All               All                   All      -0.47719526867732265      -2.9730095494912234        0.022402213060912946       -0.8119691132327543        
Redshift      All|All|All               All                   All      5.331701686895881         -0.3055747106188278        0.7253076094607658         -1.8038792361624052        
