#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3833.9730150694663    All      -1.5791379254054356       0.3464827230114764        -0.2742714494999632       0.6149985211190284         
Zeropoint     AB|MEGACAMPSF|g           3005.2087714509353    All      -0.04181016686981112      0.005187916841897788      0.01925732130203528       0.016168187859963434       
Zeropoint     AB|MEGACAMPSF|z           5400.121146856834     All      1.191114822866247         0.10405818068193184       0.3265002563434205        -0.33951990458152004       
Zeropoint     AB|MEGACAMPSF|i           4688.49317246238      All      1.420126992952418         0.5437047929275352        -0.06437882955814267      -0.28835247546395715       
Check         All|All|All               All                   All      0.990293723543418         0.9994336134628412        0.007107298587349931      0.0032943289335146675      
Lambda        AB|MEGACAMPSF|r           3833.9730150694663    All      -0.0028347885350030262    0.0004916903034621585     -0.0017402615402538314    0.0010058837157818925      
Lambda        AB|MEGACAMPSF|g           3005.2087714509353    All      -0.0005135865571504921    7.412026672596632e-05     0.0003008514711363028     0.00020486106691274656     
Lambda        AB|MEGACAMPSF|z           5400.121146856834     All      0.00013446224081081168    1.4919743651340005e-05    6.76770902427274e-05      -3.5918806448279484e-05    
Lambda        AB|MEGACAMPSF|i           4688.49317246238      All      0.000138346015653864      1.6745715433616216e-05    -0.0010106180222916828    -8.47084590469734e-05      
MWEBV         All|All|All               All                   All      -0.23036470688523902      -2.0539632997525814       0.12525332947153078       -0.5884165754820009        
Redshift      All|All|All               All                   All      3.0765111729296706        -0.8443657449483055       0.9464867849505065        -1.2349212470162074        
