#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3833.9730150694663    All      -1.682139554726963        0.3239338000311065        -0.461830791923944        0.6328347023662831         
Zeropoint     AB|MEGACAMPSF|g           3005.2087714509353    All      -0.13749449766093974      0.018699535089083952      0.12893923984593544       0.056631501175542956       
Zeropoint     AB|MEGACAMPSF|z           5400.121146856834     All      0.9944188248933359        0.11203401644390709       0.27314988556749925       -0.2752323368490819        
Zeropoint     AB|MEGACAMPSF|i           4688.49317246238      All      1.8163856094047015        0.545425810495459         0.07422616008131915       -0.4106810472241374        
Check         All|All|All               All                   All      0.9911703819101345        1.0000931620595566        0.014484493570809817      0.003552819468606805       
Lambda        AB|MEGACAMPSF|r           3833.9730150694663    All      -0.0021798485530590433    0.0003440256433815358     -0.0015120782047937376    0.0007546317532194909      
Lambda        AB|MEGACAMPSF|g           3005.2087714509353    All      -0.0004743822342936966    6.01322558800012e-05      0.0003926574710787353     0.0001916314539776823      
Lambda        AB|MEGACAMPSF|z           5400.121146856834     All      -3.121036680886754e-05    -4.849201125475651e-06    -3.614874435204475e-05    6.9735464844175126e-06     
Lambda        AB|MEGACAMPSF|i           4688.49317246238      All      -6.783713598040178e-05    -3.541678276207546e-05    -0.0006548169520827998    -1.8661097464826476e-05    
MWEBV         All|All|All               All                   All      -0.21991210107160408      -2.0566599608820013       0.1378775470442116        -0.5921363634740523        
Redshift      All|All|All               All                   All      2.7978405050833692        -0.39658283811583317      -0.5931295131943697       -1.0669974223149288        
