#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4323.691500434512     All      -0.7405111721396773        0.6044738966783925         0.3358895314889754         0.4530950927140259         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7855.6089285177595    All      0.2918689325643605         -0.05502527924159395       0.2883450902409712         -0.10012734020942715       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6473.34061178509      All      0.2603659459131889         -0.06276869721215661       -0.5141003689029588        -0.1281975223664661        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5332.457834104834     All      0.1001708929176703         0.10075503520479145        -0.4039884685332118        -0.017837875538087578      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5409.1655405944675    All      0.5003588526846157         0.33190392985584793        0.06788398208721347        -0.05184196002697705       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4329.344604392671     All      -0.19815187624885616       0.12672589646900434        -0.0901174615286271        0.10180185032196698        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6464.466816378806     All      0.7992253971654396         -0.06881446921536138       0.47717015662469553        -0.2614552296166833        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7804.316168070383     All      0.08648721083275103        -0.02915408010268905       -0.10556419308369591       -0.04237901804166333       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3597.7076322792227    All      -0.10431753247413818       0.049866420897437536       -0.05838234469137671       0.047617450211354106       
Check         All|All|All                                     All                   All      0.9954966512153542         0.9979626533336727         -0.0028640762980147727     0.0006754474480424877      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4323.691500434512     All      -0.0007141819664575103     0.0003556450786938287      -0.0010312265401164937     0.0003024589606369314      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7855.6089285177595    All      6.747188185089002e-05      -1.3362362217969642e-05    0.00010497736202457917     -2.1645715137293913e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6473.34061178509      All      -1.9574097100561352e-05    -1.054358702108638e-05     -0.00028650913286779387    -9.84405248319635e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5332.457834104834     All      1.8639685265158754e-05     7.293958389683777e-05      -0.0008440717755095572     -1.997978326160597e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5409.1655405944675    All      0.00024758945258715096     0.00014211284938880233     -0.0004877070925842334     -5.612132732325362e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4329.344604392671     All      -0.00022019722748015274    0.00012596024324536777     -0.00021829929341479488    0.00010301318160511193     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6464.466816378806     All      -4.294421734618162e-05     1.3587802552975286e-05     -0.00017624081489337476    1.0549520605460771e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7804.316168070383     All      1.170468351204123e-05      -1.7369754042796225e-06    1.0743146104353737e-05     -3.8989732573369355e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3597.7076322792227    All      -0.0003728700287588235     0.00016963647507541575     -0.0002946163605360038     0.00016356484118593053     
MWEBV         All|All|All                                     All                   All      -0.8752108131431555        -4.032094599276803         0.018598821299420365       -1.0274709275620935        
Redshift      All|All|All                                     All                   All      4.781741615838609          -1.9202559344288161        3.138301965699042          -2.0430130882627546        
