#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4323.691500434512     All      -0.6611178009101029        0.5299693094795721         0.14567108196044795        0.394476888800735          
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7855.6089285177595    All      0.25375000582294266        -0.04139797839366466       0.26765224312799957        -0.08419531821109816       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6473.34061178509      All      0.2913999169449646         -0.06608496554125765       -0.5734467499188666        -0.1420348818322824        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5332.457834104834     All      0.1349648685834959         0.105733498323346          -0.3398805859589525        -0.024688928513526515      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5409.1655405944675    All      0.5287098151590728         0.31950812289442965        0.28883953908273385        -0.05525429166459561       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4329.344604392671     All      -0.23891666607292125       0.1487255166561674         -0.1704646785062238        0.1186607562780899         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6464.466816378806     All      0.749657355084915          -0.04559878012315721       0.5172191731618838         -0.23595997019051929       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7804.316168070383     All      0.08910149262974756        -0.025857753978808518      -0.06908082507094535       -0.04052876861344482       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3597.7076322792227    All      -0.1518426116101277        0.07253514231502223        -0.06505990061542477       0.07018389170711294        
Check         All|All|All                                     All                   All      0.9957063756319866         0.9975321116316493         0.0014492972626522216      0.0006593777604710221      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4323.691500434512     All      -0.00047035935084644575    0.00015943917398698068     -0.0010670313292832365     0.000157529391766001       
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7855.6089285177595    All      5.22158085644055e-05       -9.185145906654781e-06     6.862720295930807e-05      -1.6937794027894163e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6473.34061178509      All      -4.362413576624795e-05     -8.330901610040663e-06     -0.0002812718927864463     -1.0557052623895307e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5332.457834104834     All      2.4422037032305544e-05     5.611594813582012e-05      -0.0008891710140933601     -2.9355868999112624e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5409.1655405944675    All      0.00015106421977739573     8.044844581500694e-05      -0.0003481903728216545     -3.854001792799852e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4329.344604392671     All      -0.00021204356510279784    0.00011828186491008245     -0.0002741861560997051     9.536219108378524e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6464.466816378806     All      -0.00012059912587136121    1.800370212595737e-05      -0.00022815153136959406    3.4966145993382473e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7804.316168070383     All      1.0570495921913905e-05     -1.6254556073179204e-06    1.2931278605336034e-05     -3.3955590750165434e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3597.7076322792227    All      -0.0004074160833809967     0.00018879318539732134     -0.0002240412451993679     0.0001842070417543989      
MWEBV         All|All|All                                     All                   All      -0.9026726915455106        -4.015932327283345         0.013908655305761911       -1.0134704071534022        
Redshift      All|All|All                                     All                   All      5.180738263054146          -0.78091629754935          2.6072195953852697         -1.8255587869823175        
