#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4491.311817496416     All      1.577328645950283         0.6918522142598249         6.33784109729536          -0.005600065589900227     
Zeropoint     AB|SDSS|SDSS_i            5446.500580072349     All      0.7488384674643176        0.2179546618055639         -3.2443544484936027       -0.3177069593167353       
Zeropoint     AB|SDSS|SDSS_z            6475.4351767560065    All      -0.008020365496326776     -0.002953283802398232      -0.129569681712427        -0.004131584593053406     
Zeropoint     AB|SDSS|SDSS_g            3437.13797019373      All      -1.313026990119241        0.0912777944151344         -2.922940248834749        0.32699086985147063       
Check         All|All|All               All                   All      1.0051197577990327        0.998131386678125          0.04097671825458171       -0.0004477396482183149    
Lambda        AB|SDSS|SDSS_r            4491.311817496416     All      -0.0008680881910997592    -0.00042566392180715286    -0.003215138830980217     6.352604066177632e-07     
Lambda        AB|SDSS|SDSS_i            5446.500580072349     All      1.296824837133259e-05     1.9452825286374002e-05     0.0020096371588027        9.179311650521543e-05     
Lambda        AB|SDSS|SDSS_z            6475.4351767560065    All      1.7943271403598388e-05    5.395998155579614e-06      0.00040209184327070504    1.3856452534224046e-05    
Lambda        AB|SDSS|SDSS_g            3437.13797019373      All      -0.0005231735145035675    3.2081906225872664e-05     -0.0022368646693368853    8.104396124765045e-05     
MWEBV         All|All|All               All                   All      -0.8992622500298526       -2.6335664835361428        -0.4326911362419583       -0.5842289638994913       
Redshift      All|All|All               All                   All      6.10465916022658          2.2802648876268705         3.7177140428612088        -1.0798265305302035       
