#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4491.311817496416     All      1.4478280112563882         0.7273923824712369         8.87238026954734          0.16126399613773112       
Zeropoint     AB|SDSS|SDSS_i            5446.500580072349     All      0.6873905434572465         0.13356351744846506        -5.460297169332928        -0.4240676671685318       
Zeropoint     AB|SDSS|SDSS_z            6475.4351767560065    All      0.0825316496896471         0.011399747103268965       -0.1643789712355784       -0.03050547936340469      
Zeropoint     AB|SDSS|SDSS_g            3437.13797019373      All      -1.21125666840873          0.12936383630339776        -3.120915631783453        0.29741207268983544       
Check         All|All|All               All                   All      1.0064935359945517         1.0017194833263687         0.1267884971953812        0.004102922295630085      
Lambda        AB|SDSS|SDSS_r            4491.311817496416     All      -0.000463667921471761      -0.00022905418735770316    -0.0031379908453541936    -6.361270739396308e-05    
Lambda        AB|SDSS|SDSS_i            5446.500580072349     All      0.00011734322710367768     2.339471611707247e-05      -0.0005098720070389253    -5.335536675926319e-05    
Lambda        AB|SDSS|SDSS_z            6475.4351767560065    All      -2.2943267486938636e-05    -3.565132055114883e-06     1.0683884423499022e-05    6.788868924378867e-06     
Lambda        AB|SDSS|SDSS_g            3437.13797019373      All      -0.001794426344328253      0.00011129235561443627     -0.0071248664776937965    0.00030280520928294434    
MWEBV         All|All|All               All                   All      -0.7801423404377799        -2.6444526837369864        -0.995181952065962        -0.6516776126163659       
Redshift      All|All|All               All                   All      7.063379768925555          1.5711215243154442         31.857426415282983        -0.36735857515190273      
