#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6677.159479754889     All      0.20060493730640394        0.04561851685433993        0.4596195460938368         -0.029973466657071124     
Zeropoint     AB|SDSS|SDSS_i            5616.171266799618     All      1.1297347863940113         0.1739151524901672         -1.0213433211891498        -0.35691976185887875      
Zeropoint     AB|SDSS|SDSS_g            3544.2125130502727    All      -0.9978992838886244        0.30650451239608856        -0.13085527741645286       0.4190477600256218        
Zeropoint     AB|SDSS|SDSS_r            4631.2262357871405    All      0.6628016399904453         0.4728314420088253         0.6932843968763258         -0.030941444823961994     
Check         All|All|All               All                   All      0.9952420798022363         0.998869623749421          0.0007053443645599344      0.0012130866857099076     
Lambda        AB|SDSS|SDSS_z            6677.159479754889     All      -4.589925325806102e-05     -6.437577549961405e-06     -3.369364533608957e-05     1.135037338666298e-05     
Lambda        AB|SDSS|SDSS_i            5616.171266799618     All      -0.00014306455004099898    -3.2944685995476985e-05    -0.00019567612612550548    2.7137535754504154e-05    
Lambda        AB|SDSS|SDSS_g            3544.2125130502727    All      -0.0017146923281462594     0.0004016191805349576      -0.0013550609098800606     0.0006288821381197553     
Lambda        AB|SDSS|SDSS_r            4631.2262357871405    All      -0.00047093328316825565    -0.0002383947346538332     -0.0024222643005313307     -3.23490751330195e-05     
MWEBV         All|All|All               All                   All      -0.6111212667570238        -2.741111662309592         -0.008268847921044653      -0.6941769471393328       
Redshift      All|All|All               All                   All      8.16643891604258           1.2454025402883317         9.11950408373996           -1.8474476600266687       
