#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6677.159479754889     All      0.1842256311374358         0.028348570604030954      0.19518837905616518        -0.04206392592922157       
Zeropoint     AB|SDSS|SDSS_i            5616.171266799618     All      1.2331747970106919         0.20153997134055857       -0.5379095511761606        -0.3600418352381978        
Zeropoint     AB|SDSS|SDSS_g            3544.2125130502727    All      -0.9829175534747523        0.291696342908665         -0.33067962230935605       0.400426966816624          
Zeropoint     AB|SDSS|SDSS_r            4631.2262357871405    All      0.5617515311177622         0.476960241028479         0.674308469012238          0.002471977252571147       
Check         All|All|All               All                   All      0.9962344057911375         0.9985451258817335        0.0009076745828865418      0.0007931829017757152      
Lambda        AB|SDSS|SDSS_z            6677.159479754889     All      -7.008052817489974e-05     -1.246130261089245e-05    -0.00010259754213370333    1.4190020290452745e-05     
Lambda        AB|SDSS|SDSS_i            5616.171266799618     All      -0.00014400966278428273    -3.741781028666309e-05    -0.0002279757751720018     2.4546961335197196e-05     
Lambda        AB|SDSS|SDSS_g            3544.2125130502727    All      -0.0018679886710191798     0.00044592850778072264    -0.001481691037191753      0.0006875978849200757      
Lambda        AB|SDSS|SDSS_r            4631.2262357871405    All      -0.000375424502186456      -0.0002016090290090363    -0.0020150238194883647     -3.3303840421005286e-05    
MWEBV         All|All|All               All                   All      -0.5831421586133989        -2.7423974579082966       0.003152318287794967       -0.7031998148825636        
Redshift      All|All|All               All                   All      8.571814037982067          0.8030545626230179        7.568730315164129          -2.1927828736747768        
