#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7421.986832964751    All      0.38353043495107536       -0.08691726888772067      0.11231988921825975       -0.14822797362081253      
Zeropoint     AB|CNIa02|SDSS_r                      6120.344004765456    All      1.3094499331803773        -0.16803080831166994      -0.127507407303884        -0.48695415514419527      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4338.839357177669    All      -1.0286131478465286       0.7789908675994717        0.0473190673003554        0.5909077288814818        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5428.116306323408    All      0.3327873871606001        0.4747040844993222        -0.029173461652076682     0.044925059639214227      
Check         All|All|All                           All                  All      0.9971546074455241        0.9987468748994033        0.0029580875626544767     0.0006506597556882321     
Lambda        AB|CNIa02|SDSS_i                      7421.986832964751    All      -6.573647339740249e-05    2.0440345740704252e-05    1.8506651944994194e-05    2.889649200474624e-05     
Lambda        AB|CNIa02|SDSS_r                      6120.344004765456    All      6.628583390386251e-05     -4.628075538059724e-05    -0.0002759743362599916    -4.898210858373896e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4338.839357177669    All      -0.000500597159099679     0.00020321667697807883    -0.0009831456071283484    0.00018538204817627823    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5428.116306323408    All      1.9871899795311583e-05    1.799816563097539e-05     -0.0007289102067460639    -3.313825162493386e-05    
MWEBV         All|All|All                           All                  All      -0.9070560989949952       -4.053416976338298        0.04595401242872832       -1.0228225334334096       
Redshift      All|All|All                           All                  All      4.782084396985559         -1.2207292614941245       -1.1183448022884845       -2.005220487424497        
