#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7421.986832964751    All      0.3784388510040175         -0.07348692069291118      0.15460883464008576       -0.1403076095606635       
Zeropoint     AB|CNIa02|SDSS_r                      6120.344004765456    All      1.290058741992953          -0.15267756811709887      -0.03281317500053676      -0.4714109821124187       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4338.839357177669    All      -1.1186828291094697        0.7872772890655355        -0.08885770367921425      0.6168686035084537        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5428.116306323408    All      0.44754607419144815        0.437483736982891         -0.03150773557335106      -0.004683679798731683     
Check         All|All|All                           All                  All      0.9973608380789487         0.9985965372384165        0.001430220386983684      0.00046633203663987675    
Lambda        AB|CNIa02|SDSS_i                      7421.986832964751    All      -8.658813885875217e-05     1.4982821860237046e-05    -4.791961042034465e-05    3.0946571365277524e-05    
Lambda        AB|CNIa02|SDSS_r                      6120.344004765456    All      -0.00012371836226030765    -3.546265357683697e-05    -0.000410888726100282     1.0411711142583728e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4338.839357177669    All      -0.00035193524969435997    8.022766466153035e-05     -0.0009582896556029992    9.800561287891839e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5428.116306323408    All      3.768426291306365e-05      -6.345958237852163e-05    -0.0008540918942212384    -7.106007648205047e-05    
MWEBV         All|All|All                           All                  All      -0.915509466838687         -4.050105494497114        0.03306526377857655       -1.019565500495362        
Redshift      All|All|All                           All                  All      4.942333619564983          -0.25438594943683057      0.5087130665501286        -1.6700410028939565       
