#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5502.924217568819     All      0.7882607075867899         0.23905307910236928       0.1140110693113483        -0.1738072026022039       
Zeropoint     AB|DECam|DECam_g          3408.1024801762337    All      -0.474397974966864         0.19500125859774897       -0.09022610003130704      0.21401897650173418       
Zeropoint     AB|DECam|DECam_r          4529.621381189812     All      -0.264918707603894         0.49309202115406237       -0.4364274265790946       0.22743328055915973       
Zeropoint     AB|DECam|DECam_z          6448.617843623188     All      0.9419466929564404         0.07266146935318574       0.41447179677298607       -0.26465882327210283      
Check         All|All|All               All                   All      0.9908907179724725         0.9998078282073664        0.0018293394739327118     0.002986231186587196      
Lambda        AB|DECam|DECam_i          5502.924217568819     All      0.00017840859543455444     4.1198323908667386e-05    0.00016807390843825648    -3.719353292177392e-05    
Lambda        AB|DECam|DECam_g          3408.1024801762337    All      -0.0008127356403418188     0.00019261290282959523    -0.0010719867735178663    0.00027963724925064053    
Lambda        AB|DECam|DECam_r          4529.621381189812     All      -0.0003008126453656329     -0.0002969155306586605    -0.0022253117314158604    -9.803602361465814e-05    
Lambda        AB|DECam|DECam_z          6448.617843623188     All      -0.00027197856170802024    -5.707926211173632e-05    -0.0006580000560272376    4.063625143991934e-05     
MWEBV         All|All|All               All                   All      -0.4760437698546234        -2.4859902766275255       0.050138641991809285      -0.652468245218249        
Redshift      All|All|All               All                   All      4.124571345786764          1.3781556527264982        0.5490246188063125        -0.8700974984637788       
