#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          5502.924217568819     All      0.7480700910660047         0.22306038930661742       -0.058353903532601004      -0.17361699887405657      
Zeropoint     AB|DECam|DECam_g          3408.1024801762337    All      -0.41389098153089227       0.18111848467974312       -0.10029264204016988       0.18933855838799094       
Zeropoint     AB|DECam|DECam_r          4529.621381189812     All      -0.35471512750504863       0.5840485647956584        0.059238308051878165       0.30842975260710565       
Zeropoint     AB|DECam|DECam_z          6448.617843623188     All      1.010473133623808          0.012417671215025905      0.10296953635240784        -0.3205044416705219       
Check         All|All|All               All                   All      0.9899371156538719         1.0006451099970448        0.003561298831515111       0.0036468704505180916     
Lambda        AB|DECam|DECam_i          5502.924217568819     All      0.00012832251144411606     9.122641560543416e-06     -0.00039529322306867487    -5.646744020976583e-05    
Lambda        AB|DECam|DECam_g          3408.1024801762337    All      -0.0007695022755544664     0.0002885234177651898     -0.0004901116363427063     0.0003227623449969725     
Lambda        AB|DECam|DECam_r          4529.621381189812     All      -0.00022395780621473353    -0.000237918852687364     -0.0018979270456061846     -8.924333932269635e-05    
Lambda        AB|DECam|DECam_z          6448.617843623188     All      -0.0002423794756169522     -3.602395406961309e-05    -0.00046622737508710725    4.6411195817721636e-05    
MWEBV         All|All|All               All                   All      -0.4386734051649781        -2.5078519220357975       -0.010168799970915304      -0.6744533037351255       
Redshift      All|All|All               All                   All      3.8674024160682685         0.9044446889044266        -1.0948625160356942        -1.0139914957201082       
