#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6188.6781662713465    All      1.246010749042874          -0.12995356991840623      -0.3286258687477216        -0.46286190976538055      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5358.628336809808     All      0.24705777901634948        0.44532688355491956       -1.7336003472884498        -0.012779851153077382     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7534.655973597963     All      0.5238836710567467         -0.08151243146503617      1.2988843175574065         -0.13923418599883328      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4328.538493279584     All      -1.020357204557241         0.7644149066648787        0.761716565802268          0.6153509057775344        
Check         All|All|All                                All                   All      0.9965949945587291         0.9982757888363558        -0.0016253326764970044     0.0004749588602431798     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6188.6781662713465    All      -0.0003461939180684944     2.4905638305705505e-05    -0.00027064914083111216    0.00010880150621509365    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5358.628336809808     All      -6.274655418776354e-05     2.965171434492019e-05     -0.001547607927871354      -3.896547804094195e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7534.655973597963     All      -0.00016344010010899495    2.8686415145737e-05       -0.00039351155303297606    4.502131351440203e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4328.538493279584     All      -0.0004725434816105832     9.74803293295098e-05      -0.00201803794307899       9.561974356295483e-05     
MWEBV         All|All|All                                All                   All      -0.8644329778941464        -4.02894814394319         0.2760560282239174         -1.018467586378621        
Redshift      All|All|All                                All                   All      5.5026043095996044         -0.11246149384334103      8.16109427644682           -1.464819507351704        
