#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4210.365111514248    All      -2.83780944214909         0.7408169161438494         -0.2666618950476263       1.1537764425639787         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5041.916384053105    All      3.832893589708793         0.2612059404587086         0.2639239430680229        -1.1516384589738649        
Check         All|All|All                            All                  All      0.9950841475597026        1.002022856602558          -0.002737951979603359     0.0021379835901138566      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4210.365111514248    All      -0.0009962842702550927    0.00014843560898979865     -0.0013007270674900212    0.0003148274498367291      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5041.916384053105    All      0.0004887833376514008     -1.2870002421788995e-05    -0.0008143874943844301    -0.00019974737029441585    
MWEBV         All|All|All                            All                  All      -0.03597951069370797      -2.2048855761859443        0.006408956918801945      -0.7061980581089123        
Redshift      All|All|All                            All                  All      6.956955848871987         0.6279074795440209         1.7992970091117666        -1.9812849117523301        
