#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4210.365111514248    All      -2.844521813963049       0.7381299736787028         -0.3151166332030773       1.152925344916264          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5041.916384053105    All      3.839989928010829        0.263912684984291          0.3137594994260056        -1.1508443620863764        
Check         All|All|All                            All                  All      0.9954681140477801       1.0020426586629938         -0.0013571337770716951    0.0020809828298875566      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4210.365111514248    All      -0.000952891477326272    0.00014497414664223058     -0.0013419151044405022    0.0002977274445147081      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5041.916384053105    All      0.0003107769054299241    -1.9271378884932284e-05    -0.0008201201710490786    -0.00014410578102559614    
MWEBV         All|All|All                            All                  All      -0.03484235040218753     -2.205145699410771         0.007091677596723035      -0.7066227326312158        
Redshift      All|All|All                            All                  All      7.475619951682142        0.661566326641605          2.0674627749348877        -2.127300073249009         
