#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4132.972375814231    All      -0.9691403787666991        0.5543999053723603        -0.03603230025125912       0.4946592374607938         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7145.560699792466    All      0.6696730038111123         -0.09352789280328011      0.4350379046157666         -0.22918589696483138       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5048.758320852906    All      0.0687891335400761         0.5786244081953384        0.27226672134320473        0.1782201353352708         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5844.307407623028    All      1.22794724096471           -0.04094306506257084      -0.6654375919370147        -0.44301474140803          
Check         All|All|All                              All                  All      0.9972689995491992         0.9985533557018478        0.005834733770697542       0.0006787344232032644      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4132.972375814231    All      -0.0006129135906354353     0.00022697339671217737    -0.0011045456054804797     0.0002242880258621456      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7145.560699792466    All      -0.00038759252434209424    6.355603736154458e-05     -0.00020495162864863842    0.00013780787901588774     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5048.758320852906    All      -1.338492803872236e-05     1.6231226887838593e-05    -0.00046955616806346076    -1.1307179185059669e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5844.307407623028    All      -0.00018930617278882804    2.036977507836137e-05     0.00013613801418583258     7.437356866796367e-05      
MWEBV         All|All|All                              All                  All      -0.7756263089528757        -3.7885803429285048       0.07242960698341437        -0.9781860514068083        
Redshift      All|All|All                              All                  All      6.244022171010873          0.6486476309685685        2.6078588029090675         -1.7062208091347761        
