#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4132.972375814231    All      -0.9998414744381384        0.5623902592217789        -0.037521686328390036      0.5071958510204977         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7145.560699792466    All      0.7006863478913665         -0.101516232407306        0.35771174268866           -0.245340739918673         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5048.758320852906    All      0.08287150416227296        0.5748021065004494        0.28778378401800864        0.1730804497552585         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5844.307407623028    All      1.212305476814935          -0.03673103480599238      -0.6055473292019442        -0.4338750800396071        
Check         All|All|All                              All                  All      0.9960218544304362         0.9989450985089299        0.0024265111763344116      0.0010604808174760616      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4132.972375814231    All      -0.0005232668211865079     0.0001615938736889161     -0.0011901385369023707     0.0001699712427751789      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7145.560699792466    All      -0.0003934017099321913     6.889866129507655e-05     -0.00016131450546157287    0.00014338771465115062     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5048.758320852906    All      -3.278092993226377e-05     -4.138266739450771e-05    -0.0005407677359318843     -2.6933849278472998e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5844.307407623028    All      -0.00025596097240299993    9.411637498784776e-06     0.00017700722913454743     9.433960921603183e-05      
MWEBV         All|All|All                              All                  All      -0.7835308256741667        -3.7856838491394207       0.07058317615088461        -0.9747502046685937        
Redshift      All|All|All                              All                  All      6.326200864749542          1.2215043661914393        2.393213341052752          -1.5559694693269954        
