#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5711.216132284655     All      0.9921925665721387         0.0626446850903406         -1.7280684761789011       -0.37990008557599597      
Zeropoint     AB|SDSS|SDSS_r            4709.602455759861     All      1.0813149472173242         0.6172617160464355         2.843158522084588         -0.024280297604332285     
Zeropoint     AB|SDSS|SDSS_z            6790.15990200467      All      0.2251352213480053         0.031164791420934534       0.4080605148692129        -0.04497268384038716      
Zeropoint     AB|SDSS|SDSS_g            3604.1927354385416    All      -1.3007431005239796        0.2877437176014297         -1.5139001068153135       0.4498640076520233        
Check         All|All|All               All                   All      0.9978996346134885         0.9988149101591404         0.009250453959586125      0.0007109406313078881     
Lambda        AB|SDSS|SDSS_i            5711.216132284655     All      -0.00012351077775336428    -4.046750649530238e-05     -0.0003702982944577881    1.0525213328125391e-05    
Lambda        AB|SDSS|SDSS_r            4709.602455759861     All      -5.535507952762772e-07     -1.2971206833593457e-06    0.0004549364583535478     2.0059519513470026e-05    
Lambda        AB|SDSS|SDSS_z            6790.15990200467      All      -3.2472774408478915e-05    -3.2060210952059673e-06    -2.75836554689424e-05     8.302212545285941e-06     
Lambda        AB|SDSS|SDSS_g            3604.1927354385416    All      -0.0027110070775054943     0.00043590622965871203     -0.004617264175122458     0.0008190059007076319     
MWEBV         All|All|All               All                   All      -0.5520441506960108        -2.8188112501466023        0.09140569250347674       -0.7342816024682786       
Redshift      All|All|All               All                   All      7.698673969207184          -0.6215989428804747        1.4212823445311162        -2.6467613129924743       
