#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5711.216132284655     All      1.0253907812013772         0.10447380270495188        -1.3555855068656866        -0.36046651235733695       
Zeropoint     AB|SDSS|SDSS_r            4709.602455759861     All      1.0326961936776315         0.5848766215880374         2.185340793906227          -0.048347844731088274      
Zeropoint     AB|SDSS|SDSS_z            6790.15990200467      All      0.1409729983851606         0.019931461733158073       0.17659549839846164        -0.031546564616095535      
Zeropoint     AB|SDSS|SDSS_g            3604.1927354385416    All      -1.2008881991684006        0.2898776046297513         -0.9957173472974433        0.44115717498970763        
Check         All|All|All               All                   All      0.9981717740957687         0.9991594906558987         0.010633438141558815       0.0007962532851868431      
Lambda        AB|SDSS|SDSS_i            5711.216132284655     All      -0.00025858041966282533    -9.115836124389816e-06     0.0005255864837408878      0.00010471333283743882     
Lambda        AB|SDSS|SDSS_r            4709.602455759861     All      -0.00017733791940746768    -0.00010465130640128478    -0.0009163326160297386     -1.7215294915274036e-05    
Lambda        AB|SDSS|SDSS_z            6790.15990200467      All      -7.796114183759438e-05     -1.0895712521641682e-05    -0.00011033524611389559    1.692166143268697e-05      
Lambda        AB|SDSS|SDSS_g            3604.1927354385416    All      -0.002447988122078759      0.0003751832152931607      -0.003920405102628177      0.0007446501101993028      
MWEBV         All|All|All               All                   All      -0.5702419352293746        -2.8158197816049224        0.059449753394032946       -0.7288056124301516        
Redshift      All|All|All               All                   All      8.007643054073586          -0.16543217968223445       0.21515420723058862        -2.6526381457215735        
