#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7385.741263109375    All      0.5551216187101282        -0.23127803466049812       0.4063522394704755        -0.23802260474370396       
Zeropoint     AB|PS|PS_r                6097.787468551019    All      1.194196793009882         0.16996709708827495        -0.747025215643693        -0.3669616125292485        
Zeropoint     AB|PS|PS_z                8488.018882590402    All      0.42729198085073383       -0.17564108619003704       0.21094532440084635       -0.18698161485272147       
Zeropoint     AB|PS|PS_g                4801.664121198435    All      -1.1805190662741865       1.2231308682816078         -0.008556650677671307     0.7825660173983562         
Check         All|All|All               All                  All      0.9960913262965573        0.9861788445193476         -0.13828430245004242      -0.009399814727317768      
Lambda        AB|PS|PS_i                7385.741263109375    All      3.713427217411056e-05     -3.6762102409999695e-05    -0.0003234770537349608    -3.850577555237782e-05     
Lambda        AB|PS|PS_r                6097.787468551019    All      0.0002937419930869402     2.0329124057041432e-05     -0.0003659650256251365    -0.00010539090473633306    
Lambda        AB|PS|PS_z                8488.018882590402    All      0.000441839577232938      -0.00020020657739609182    0.0001652515500710618     -0.00020176113754700144    
Lambda        AB|PS|PS_g                4801.664121198435    All      -0.0008831301155682084    0.0007098502561655074      -0.0010012211744542235    0.00047420621199787853     
MWEBV         All|All|All               All                  All      -0.6960615059869122       -4.11742592006572          0.10791598653165924       -1.109635154372629         
Redshift      All|All|All               All                  All      4.725841228802292         -2.050832382302481         5.997756599756254         -1.9397332107290444        
